dataset,scenario,player,members,n_players,full_coalition_mask,gate_mass,group_shapley_mse_utility,original_shapley_sum,zero_gate_positive_shapley
brspeech,remove_quant_and_egemaps_8,whisper,whisper,8,383,0.06554075084233765,-0.06319864373549128,-0.0486038394349953,False
brspeech,remove_quant_and_egemaps_8,contentvec12,contentvec12,8,383,0.20000181824285135,0.10668139626504157,0.0884787982737205,False
brspeech,remove_quant_and_egemaps_8,wavlm,wavlm,8,383,0.4019807820212706,0.1710194485959151,0.1294953413915447,False
brspeech,remove_quant_and_egemaps_8,beats,beats,8,383,0.0,0.055791017913844526,0.0488491716875864,True
brspeech,remove_quant_and_egemaps_8,auditory_erb,auditory_erb,8,383,0.0,0.06373049786116153,0.0513788281018004,True
brspeech,remove_quant_and_egemaps_8,speaker,speaker,8,383,0.15770033409838427,0.15953848187272113,0.1201659923333755,False
brspeech,remove_quant_and_egemaps_8,rmvpe_cont,rmvpe_cont,8,383,0.05026650060575705,0.011401688009168966,0.0041731302452392,False
brspeech,remove_quant_and_egemaps_8,ced,ced,8,383,0.124509814189399,0.16401237037010397,0.1242963011463594,False
bvcc,original_10,whisper,whisper,10,1023,0.24948356301409777,0.06564097665002123,0.0656409766500212,False
bvcc,original_10,contentvec12,contentvec12,10,1023,0.0613866786806006,0.07943001857065202,0.0794300185706519,False
bvcc,original_10,wavlm,wavlm,10,1023,0.16720539555582245,0.09389853195481832,0.0938985319548183,False
bvcc,original_10,beats,beats,10,1023,0.20028185678034421,0.11369918928716502,0.113699189287165,False
bvcc,original_10,auditory_erb,auditory_erb,10,1023,3.700774296826724e-17,0.023155748587374965,0.0231557485873749,True
bvcc,original_10,speaker,speaker,10,1023,0.09944090886036855,0.08577724679109956,0.0857772467910995,False
bvcc,original_10,rmvpe_cont,rmvpe_cont,10,1023,2.347903861383996e-17,0.006788966895461574,0.0067889668954615,True
bvcc,original_10,rmvpe_quant,rmvpe_quant,10,1023,0.0,0.0033863461246304754,0.0033863461246304,True
bvcc,original_10,ced,ced,10,1023,0.2222015971087664,0.11576342261762093,0.1157634226176209,False
bvcc,original_10,egemaps,egemaps,10,1023,0.0,0.049994333407876415,0.0499943334078764,True
bvcc,rmvpe_grouped_9,whisper,whisper,9,1023,0.24948356301409777,0.06536098071155057,0.0656409766500212,False
bvcc,rmvpe_grouped_9,contentvec12,contentvec12,9,1023,0.0613866786806006,0.07936999904889981,0.0794300185706519,False
bvcc,rmvpe_grouped_9,wavlm,wavlm,9,1023,0.16720539555582245,0.09407141647027438,0.0938985319548183,False
bvcc,rmvpe_grouped_9,beats,beats,9,1023,0.20028185678034421,0.11374707535305605,0.113699189287165,False
bvcc,rmvpe_grouped_9,auditory_erb,auditory_erb,9,1023,3.700774296826724e-17,0.023484408310084186,0.0231557485873749,True
bvcc,rmvpe_grouped_9,speaker,speaker,9,1023,0.09944090886036855,0.08589298471388979,0.0857772467910995,False
bvcc,rmvpe_grouped_9,ced,ced,9,1023,0.2222015971087664,0.11595986920599918,0.1157634226176209,False
bvcc,rmvpe_grouped_9,egemaps,egemaps,9,1023,0.0,0.05014219841010334,0.0499943334078764,True
bvcc,rmvpe_grouped_9,rmvpe_cont+rmvpe_quant,rmvpe_cont;rmvpe_quant,9,1023,2.347903861383996e-17,0.009505848662863563,0.010175313020091899,True
bvcc,prosody_grouped_8,whisper,whisper,8,1023,0.24948356301409777,0.06573494228900291,0.0656409766500212,False
bvcc,prosody_grouped_8,contentvec12,contentvec12,8,1023,0.0613866786806006,0.08018280641680635,0.0794300185706519,False
bvcc,prosody_grouped_8,wavlm,wavlm,8,1023,0.16720539555582245,0.09526464903179235,0.0938985319548183,False
bvcc,prosody_grouped_8,beats,beats,8,1023,0.20028185678034421,0.11478217530740609,0.113699189287165,False
bvcc,prosody_grouped_8,auditory_erb,auditory_erb,8,1023,3.700774296826724e-17,0.024824448471108432,0.0231557485873749,True
bvcc,prosody_grouped_8,speaker,speaker,8,1023,0.09944090886036855,0.08702650376252673,0.0857772467910995,False
bvcc,prosody_grouped_8,ced,ced,8,1023,0.2222015971087664,0.11719232697056323,0.1157634226176209,False
bvcc,prosody_grouped_8,rmvpe_cont+rmvpe_quant+egemaps,rmvpe_cont;rmvpe_quant;egemaps,8,1023,2.347903861383996e-17,0.05252692863751451,0.0601696464279683,True
bvcc,remove_rmvpe_quant_9,whisper,whisper,9,895,0.2494829534451294,0.06569257990590047,0.0656409766500212,False
bvcc,remove_rmvpe_quant_9,contentvec12,contentvec12,9,895,0.06138705414398832,0.07968707529601195,0.0794300185706519,False
bvcc,remove_rmvpe_quant_9,wavlm,wavlm,9,895,0.16720501081044473,0.09438932578892219,0.0938985319548183,False
bvcc,remove_rmvpe_quant_9,beats,beats,9,895,0.2002832523861098,0.11405597333127708,0.113699189287165,False
bvcc,remove_rmvpe_quant_9,auditory_erb,auditory_erb,9,895,2.0533666828220342e-18,0.023814578594697055,0.0231557485873749,True
bvcc,remove_rmvpe_quant_9,speaker,speaker,9,895,0.09943973970585036,0.08620832657457575,0.0857772467910995,False
