dataset,feature,gate,mse_utt_full,mse_sys_full,phi_utt,phi_sys,loo_utt,loo_sys
brspeech,whisper,0.02980055461108998,0.7043381049255214,0.5945822006791222,-0.048603838780309924,-0.0014575671359572634,-0.004830073220422282,-0.0014478388300962486
brspeech,contentvec12,0.1532288829605517,0.7043381049255214,0.5945822006791222,0.08847879892840592,0.08502763096451471,0.0238018956296826,0.016498333053669878
brspeech,wavlm,0.3020849624986589,0.7043381049255214,0.5945822006791222,0.12949534204623023,0.13746205230968453,0.023817684959506646,0.041191179851452264
brspeech,beats,6.3592586701892684e-18,0.7043381049255214,0.5945822006791222,0.04884917234227174,0.04157163205460131,-7.277924929383062e-10,1.324733989171989e-09
brspeech,auditory_erb,0.0,0.7043381049255214,0.5945822006791222,0.05137882875648576,0.05501039926036401,-1.0070301259546e-09,2.3899648926573036e-09
brspeech,speaker,1.7996308828059646e-16,0.7043381049255214,0.5945822006791222,0.12016599298806102,0.14134276067965676,-9.532512046384056e-08,-4.416433430076694e-08
brspeech,rmvpe_cont,1.3897018102695086e-17,0.7043381049255214,0.5945822006791222,0.004173130899924604,-0.0036217024200068085,9.011485557763876e-09,1.2378760239073472e-09
brspeech,rmvpe_quant,2.8081378897856393e-17,0.7043381049255214,0.5945822006791222,-0.0033499136157633565,0.015614081266664073,6.96684211431986e-08,1.3632408202290947e-08
brspeech,ced,0.0,0.7043381049255214,0.5945822006791222,0.12429630180104487,0.1467188163303183,3.277386961819673e-08,1.547035799465135e-08
brspeech,egemaps,0.5148855999296992,0.7043381049255214,0.5945822006791222,0.16929328816959963,0.1998221205588329,0.015200834142152675,0.029032320463093342
bvcc,whisper,0.24948356301409777,0.2098832669376959,0.22642320420440862,0.06564097664960936,0.06392776012501163,-0.0023920555665588594,-0.0015151876330558034
bvcc,contentvec12,0.0613866786806006,0.2098832669376959,0.22642320420440862,0.07943001857024004,0.07005153835075402,0.002315348644518739,0.0020300258523994197
bvcc,wavlm,0.16720539555582245,0.2098832669376959,0.22642320420440862,0.09389853195440642,0.08411335657970112,0.001586187804087369,0.0026517703218874866
bvcc,beats,0.20028185678034421,0.2098832669376959,0.22642320420440862,0.1136991892867531,0.10343294744130926,0.010609331579143455,0.009203700804828463
bvcc,auditory_erb,3.700774296826724e-17,0.2098832669376959,0.22642320420440862,0.02315574858696355,0.025111198730044845,-9.364053510374504e-08,-8.295268591473892e-08
bvcc,speaker,0.09944090886036855,0.2098832669376959,0.22642320420440862,0.08577724679068753,0.072802843485155,0.001363276516106876,0.00011884880218671068
bvcc,rmvpe_cont,2.347903861383996e-17,0.2098832669376959,0.22642320420440862,0.00678896689505072,0.006753079214709256,-1.0386481133495273e-07,-9.64181382512308e-08
bvcc,rmvpe_quant,0.0,0.2098832669376959,0.22642320420440862,0.003386346124219677,0.007603122712535991,-1.0050276408324343e-07,-9.261195385579235e-08
bvcc,ced,0.2222015971087664,0.2098832669376959,0.22642320420440862,0.1157634226172089,0.10376736251267506,0.01392756462577266,0.011333859532093787
