dataset,bootstrap,n_system_draws,n_unique_systems_drawn,alpha,feature,shapley_mse_utility
brspeech,9,6,4,10.0,contentvec12,0.1919529346637151
brspeech,9,6,4,10.0,egemaps,0.5158095833144027
brspeech,9,6,4,10.0,rmvpe_cont,0.1806592363805247
brspeech,9,6,4,10.0,rmvpe_quant,0.0092095424619151
brspeech,9,6,4,10.0,speaker,0.2871221040603255
brspeech,9,6,4,10.0,wavlm,0.1848342316878328
brspeech,9,6,4,10.0,whisper,0.0546068737635634
brspeech,10,6,4,10.0,auditory_erb,-1.8641819339496384
brspeech,10,6,4,10.0,beats,-0.431575236538033
brspeech,10,6,4,10.0,ced,0.32057204947678
brspeech,10,6,4,10.0,contentvec12,0.3181772136539619
brspeech,10,6,4,10.0,egemaps,0.8245578968423699
brspeech,10,6,4,10.0,rmvpe_cont,0.1702202847858644
brspeech,10,6,4,10.0,rmvpe_quant,-0.0116406327135743
brspeech,10,6,4,10.0,speaker,0.4485734155967267
brspeech,10,6,4,10.0,wavlm,0.383916371842585
brspeech,10,6,4,10.0,whisper,0.1464816244442716
brspeech,11,6,4,10.0,auditory_erb,-0.0735913380246006
brspeech,11,6,4,10.0,beats,-0.0096884419288344
brspeech,11,6,4,10.0,ced,0.0674594132249029
brspeech,11,6,4,10.0,contentvec12,0.1015335931325419
brspeech,11,6,4,10.0,egemaps,0.3443246811782695
brspeech,11,6,4,10.0,rmvpe_cont,0.0323098685152437
brspeech,11,6,4,10.0,rmvpe_quant,-0.4630079015900443
brspeech,11,6,4,10.0,speaker,0.2189203204961141
brspeech,11,6,4,10.0,wavlm,0.1988709364362583
brspeech,11,6,4,10.0,whisper,-0.0958094462127239
brspeech,12,6,5,10.0,auditory_erb,-1.312633104959142
brspeech,12,6,5,10.0,beats,-0.4618265214290691
brspeech,12,6,5,10.0,ced,0.1827806960976624
brspeech,12,6,5,10.0,contentvec12,0.2966060512211377
brspeech,12,6,5,10.0,egemaps,0.6794571170566711
brspeech,12,6,5,10.0,rmvpe_cont,0.1832432103981778
brspeech,12,6,5,10.0,rmvpe_quant,0.0177564580440579
brspeech,12,6,5,10.0,speaker,0.410552317895251
brspeech,12,6,5,10.0,wavlm,0.2984561565450164
brspeech,12,6,5,10.0,whisper,0.0720410109736164
brspeech,13,6,4,10.0,auditory_erb,-1.220895110192715
brspeech,13,6,4,10.0,beats,-0.2717067548004939
brspeech,13,6,4,10.0,ced,0.1163777400543865
brspeech,13,6,4,10.0,contentvec12,0.0492263639669463
brspeech,13,6,4,10.0,egemaps,0.9405740143084798
brspeech,13,6,4,10.0,rmvpe_cont,0.1750829393877334
brspeech,13,6,4,10.0,rmvpe_quant,0.0524879432186821
brspeech,13,6,4,10.0,speaker,0.5313330719306941
brspeech,13,6,4,10.0,wavlm,0.1423360703917295
brspeech,13,6,4,10.0,whisper,0.0909929928381079
brspeech,14,6,4,10.0,auditory_erb,-7.084613688176173
brspeech,14,6,4,10.0,beats,0.826775510254337
brspeech,14,6,4,10.0,ced,0.3784024795501911
brspeech,14,6,4,10.0,contentvec12,0.666706308358423
brspeech,14,6,4,10.0,egemaps,3.6608276772276698
brspeech,14,6,4,10.0,rmvpe_cont,0.0660278698341782
brspeech,14,6,4,10.0,rmvpe_quant,-0.0379879686842395
brspeech,14,6,4,10.0,speaker,0.28643129139468
brspeech,14,6,4,10.0,wavlm,1.0601515730403857
brspeech,14,6,4,10.0,whisper,0.6136352732386334
brspeech,15,6,3,10.0,auditory_erb,10.17248694426228
brspeech,15,6,3,10.0,beats,6.430468959342655
brspeech,15,6,3,10.0,ced,5.149180057129185
brspeech,15,6,3,10.0,contentvec12,6.210407042765878
