dataset,n_singletons,spearman_negMSE_vs_SRCC_singleton,spearman_shapleyMSE_vs_singletonSRCC
brspeech,10,0.8787878787878788,0.7939393939393938
bvcc,10,0.9878787878787878,0.9878787878787878
singmos,10,0.709090909090909,0.7696969696969697
tmhintqi,10,0.9515151515151514,0.9999999999999999
