dataset,feature,protocol,gate_weight,singleton_mse_utility,leave_one_out_mse_utility,exact_shapley_mse_utility,train_gate_n,train_gate_median,train_gate_p025,train_gate_p975,train_gate_zero_count_lt_1e_6,train_gate_probability_zero_lt_1e_6,train_shapley_n,train_shapley_median,train_shapley_p025,train_shapley_p975,train_shapley_positive_count,train_shapley_positive_frequency_gt_0,frozen_expert_gate_n,frozen_expert_gate_median,frozen_expert_gate_p025,frozen_expert_gate_p975,frozen_expert_gate_zero_count_lt_1e_6,frozen_expert_gate_probability_zero_lt_1e_6,test_shapley_ci95_low,test_shapley_ci95_high,test_shapley_bootstrap_n,train_shapley_uncertainty_scope,test_shapley_uncertainty_scope,gate_zero_lt_1e_6,gate_zero_positive_shapley,loo_signed_le_1e_6_positive_shapley,loo_absolute_le_1e_6_positive_shapley
bvcc,whisper,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.2494835630140977,0.406673544383865,-0.0023920555665588,0.0656409766500212,100,0.1813176127203557,0.11462092707674068,0.24760964300386826,0,0.0,50,0.058574771047713456,0.04221350677948007,0.07386086049062739,50,1.0,200,0.245014460148722,0.1913621544205354,0.2950285259952061,0,0.0,0.0429708582187484,0.0893951111655124,10000,training_system_refit_fixed_observed_test_descriptive_50_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,False,False,True,False
bvcc,contentvec12,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0613866786806006,0.4624802626022232,0.002315348644519,0.0794300185706519,100,0.0675857989857768,0.003874345861644103,0.1467283174767004,2,0.02,50,0.07108123398163216,0.06561735421954648,0.07868503917060468,50,1.0,200,0.06232578087975895,0.007605104355309373,0.11115337913607867,3,0.015,0.0575718189917619,0.1026578697303907,10000,training_system_refit_fixed_observed_test_descriptive_50_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,False,False,False,False
bvcc,wavlm,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.1672053955558224,0.5346819564819836,0.0015861878040873,0.0938985319548183,100,0.16477772086063847,0.07151612451349948,0.2520632784379346,0,0.0,50,0.0917057965436962,0.08008608542925873,0.10252785493793433,50,1.0,200,0.16794318162794508,0.0953572040791886,0.22799889697243786,0,0.0,0.0701022571166596,0.118954361442814,10000,training_system_refit_fixed_observed_test_descriptive_50_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,False,False,False,False
bvcc,beats,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.2002818567803442,0.565056422659086,0.0106093315791433,0.113699189287165,100,0.17843899363985175,0.09869267341885123,0.25907169698698285,0,0.0,50,0.10882823583850025,0.09825905814422906,0.12107120644963916,50,1.0,200,0.2028451408386677,0.13154480634487398,0.27003708095928297,0,0.0,0.0895791963654591,0.1402360209229509,10000,training_system_refit_fixed_observed_test_descriptive_50_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,False,False,False,False
bvcc,auditory_erb,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,3.700774296826724e-17,0.1781685862374141,-9.364053510374505e-08,0.0231557485873749,100,6.387242190311938e-18,0.0,4.73235378645789e-17,100,1.0,50,0.0224187724338639,0.015663367032627787,0.02777366211749753,50,1.0,200,2.0238065564518396e-18,0.0,6.367758546553295e-17,200,1.0,0.011841508157035,0.037417468600528,10000,training_system_refit_fixed_observed_test_descriptive_50_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,True,True,True,True
bvcc,speaker,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0994409088603685,0.5004280680527892,0.0013632765161067,0.0857772467910995,100,0.16170818814995624,0.09927037607917684,0.2576560791169952,0,0.0,50,0.09292034039733615,0.083639925569509,0.10164352873019948,50,1.0,200,0.1056331501772442,0.04360053235145928,0.17256654640048266,0,0.0,0.062865174166429,0.1103741185229426,10000,training_system_refit_fixed_observed_test_descriptive_50_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,False,False,False,False
bvcc,rmvpe_cont,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,2.347903861383996e-17,0.0503485162313344,-1.0386481150148621e-07,0.0067889668954615,100,9.17707258790831e-19,0.0,2.575332340070672e-17,100,1.0,50,0.00812829392991175,0.004088977910990318,0.011046457193344041,50,1.0,200,9.244967572586665e-19,0.0,3.117592757843017e-17,200,1.0,0.0009995643201107,0.0130980963684823,10000,training_system_refit_fixed_observed_test_descriptive_50_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,True,True,True,True
bvcc,rmvpe_quant,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0,0.0211115889358615,-1.0050276399997673e-07,0.0033863461246304,100,4.1080436197343524e-19,0.0,2.872061464537838e-17,100,1.0,50,7.175708685638202e-05,-0.005986596320357745,0.003838799092791792,26,0.52,200,1.1945149789755764e-18,0.0,3.6638582848796666e-17,200,1.0,-0.0019408074849836,0.0091442055367744,10000,training_system_refit_fixed_observed_test_descriptive_50_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,True,True,True,True
bvcc,ced,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.2222015971087664,0.568244327427456,0.0139275646257727,0.1157634226176209,100,0.23572330092792135,0.1534142235736905,0.3349998539195241,0,0.0,50,0.1186463299863626,0.10833562061848151,0.12623890567967525,50,1.0,200,0.21751741731616625,0.15136653995041405,0.28277761132383455,0,0.0,0.0908777317001361,0.1415337078173189,10000,training_system_refit_fixed_observed_test_descriptive_50_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,False,False,False,False
bvcc,egemaps,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0,0.3385513272668874,-9.873161704865296e-09,0.0499943334078764,100,1.2191599981459813e-18,0.0,0.005028061359926455,94,0.94,50,0.05079871494410535,0.04344637432690198,0.05647036953207141,50,1.0,200,1.9787516828473013e-18,0.0,3.595232229187145e-17,198,0.99,0.0334228768240121,0.0684253497469762,10000,training_system_refit_fixed_observed_test_descriptive_50_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,True,True,True,True
singmos,whisper,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.1035732959173086,-0.2349908808124816,0.0029960072804288,-0.0113154036986716,100,0.08623619037338501,0.02612636080997966,0.1614470576133775,0,0.0,50,-0.03413558755940045,-0.07516684429369333,-0.009211921296041453,0,0.0,200,0.10362260239241965,0.06252442218101312,0.16879851883069905,0,0.0,-0.0520026968777426,0.0254984841228695,10000,training_system_refit_fixed_observed_test_descriptive_50_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,False,False,False,False
singmos,contentvec12,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0761355702021474,-0.0918884532380281,-0.0025277700532762,-0.0004963243074456,100,0.066169468219514,0.00218345225759753,0.12949363288166424,1,0.01,50,-0.02126825953873355,-0.04030729098017859,-0.0022430551303536787,0,0.0,200,0.07438220882424096,0.011209306672240866,0.1470231121782822,2,0.01,-0.0213976394206163,0.0195298178678947,10000,training_system_refit_fixed_observed_test_descriptive_50_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,False,False,False,False
singmos,wavlm,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.2156314321177969,0.0781683036890739,0.0037315971238387,0.0320920259983602,100,0.18580477672451165,0.08167946541312408,0.3236874210370271,0,0.0,50,0.0312076212860745,0.010361266183862069,0.0537957396170074,50,1.0,200,0.2101819258507435,0.11975777676092851,0.30055931851063583,0,0.0,0.0142140355611609,0.0495238423115329,10000,training_system_refit_fixed_observed_test_descriptive_50_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,False,False,False,False
singmos,beats,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.1525446447712445,0.0983020308039757,0.00137194652039,0.0374934764541231,100,0.1038912879422691,0.0,0.21613847172943418,6,0.06,50,0.0238075074858817,0.004597449902718615,0.040072184947322946,49,0.98,200,0.15259382588829015,0.07611958316875907,0.21714555029482463,0,0.0,0.0158760631383133,0.0597781830345028,10000,training_system_refit_fixed_observed_test_descriptive_50_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,False,False,False,False
singmos,auditory_erb,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,1.0052997299597864e-17,0.0418233909318368,-1.5407608577877596e-08,0.0180568906147349,100,5.71486512067576e-18,0.0,0.13651957327148279,73,0.73,50,0.026609218820356897,0.008888029677963424,0.03935529148528683,50,1.0,200,1.652078206615409e-18,0.0,0.023517191968778713,182,0.91,0.0065935905601882,0.0289775341794374,10000,training_system_refit_fixed_observed_test_descriptive_50_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,True,True,True,True
singmos,speaker,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0078033507166472,0.1052401329151819,0.0001943445077137,0.0323836613083738,100,0.039134109246033805,0.0,0.13811406356654765,23,0.23,50,0.037263247234466654,0.025090762859817203,0.05535378213505628,50,1.0,200,0.00816682163664965,0.0,0.09196101667868836,82,0.41,0.0232463682033046,0.0411115852808362,10000,training_system_refit_fixed_observed_test_descriptive_50_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,False,False,False,False
singmos,rmvpe_cont,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,6.998570022019254e-18,0.0092330011678677,2.8730186729664098e-08,0.0111100055314321,100,1.5043503666583387e-18,0.0,0.018966265105304452,93,0.93,50,0.0234911659206664,0.017116869181849906,0.03651495774039461,50,1.0,200,1.6847543223530912e-18,0.0,3.325591078269457e-17,200,1.0,0.004694149240029,0.0176910629359067,10000,training_system_refit_fixed_observed_test_descriptive_50_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,True,True,True,True
singmos,rmvpe_quant,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,4.211818390662805e-18,-0.0681418181652206,5.894772231451739e-08,0.0027011972363721,100,1.3432442865002643e-17,0.0,0.08877348230485053,54,0.54,50,-0.012682648485240849,-0.051447472524159224,0.00781356385412394,12,0.24,200,2.2378680776810682e-18,0.0,0.04128081754908704,149,0.745,-0.0109442346778652,0.0143085860468405,10000,training_system_refit_fixed_observed_test_descriptive_50_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,True,True,True,True
singmos,ced,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.2313996295974314,0.1725269376554671,0.0109186092294137,0.0604727140287626,100,0.22959172426779795,0.07997702621902343,0.33017147792953144,0,0.0,50,0.06579023656285045,0.04398301119572963,0.08269893116023799,50,1.0,200,0.2291136901425302,0.13392117752512342,0.318537195257857,0,0.0,0.0346679368934711,0.0858760612361976,10000,training_system_refit_fixed_observed_test_descriptive_50_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,False,False,False,False
singmos,egemaps,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.2129120766774237,0.1738259466940094,0.0117138531856039,0.0578756062914452,100,0.2631462168155301,0.11249330491569433,0.3842319565344861,0,0.0,50,0.07408195418524645,0.0625574097020853,0.09600643232911271,50,1.0,200,0.20777432492426373,0.13878755151798677,0.26899764586738956,0,0.0,0.0417994882083519,0.0735511904409648,10000,training_system_refit_fixed_observed_test_descriptive_50_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,False,False,False,False
tmhintqi,whisper,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.1921908739270383,0.5902976151338181,0.0090795194726848,0.1039670745338689,100,0.16633076298267385,0.06035817353947916,0.2859460542388252,1,0.01,50,0.0914352906429654,0.07790745456514934,0.10124187820347214,50,1.0,200,0.19683739028803734,0.10066184654618676,0.2688759162354653,0,0.0,0.0605364683239936,0.1645799131085638,10000,training_system_refit_fixed_observed_test_descriptive_50_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,False,False,False,False
tmhintqi,contentvec12,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0716131980848846,0.5262682778664185,0.0003072517821934,0.0804864305101313,100,0.1140419731901597,0.015860027092388564,0.19390432543747244,2,0.02,50,0.075958971416022,0.0686500641219033,0.08566704423315213,50,1.0,200,0.06818113228302955,0.016770984332663667,0.12419591205313149,0,0.0,0.0326877320994619,0.1476819793141447,10000,training_system_refit_fixed_observed_test_descriptive_50_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,False,False,False,False
tmhintqi,wavlm,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.1696860716470763,0.6061906565536977,0.0064538339429027,0.1063505814746487,100,0.16760724326356924,0.0,0.3831325946440918,7,0.07,50,0.10675095112427704,0.092791513069501,0.11719110129599362,50,1.0,200,0.16768119602859693,0.10859200781582105,0.23381711852923906,0,0.0,0.0580252508505283,0.173604786872446,10000,training_system_refit_fixed_observed_test_descriptive_50_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,False,False,False,False
tmhintqi,beats,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.2710298853508606,0.5989495096884659,0.0058108256927736,0.103502732861307,100,0.16657438218022752,0.012130327684577459,0.2578614076620967,2,0.02,50,0.0989143438846527,0.07912829825877034,0.11066160586250912,50,1.0,200,0.26473910067452233,0.20910215327805398,0.3079295340528726,0,0.0,0.0543311723170893,0.1709232145224029,10000,training_system_refit_fixed_observed_test_descriptive_50_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,False,False,False,False
tmhintqi,auditory_erb,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0,0.1861122029095264,3.506651913287584e-09,0.0221572798267956,100,0.0,0.0,4.118486477182813e-17,100,1.0,50,0.020225610387991297,0.015200718244570477,0.02614534111762938,50,1.0,200,1.621161504040627e-18,0.0,4.4356799879659976e-17,200,1.0,0.0085797060352973,0.0388408760358417,10000,training_system_refit_fixed_observed_test_descriptive_50_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,True,True,True,True
tmhintqi,speaker,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0117587995048376,0.4943938154892405,-1.1852257730815552e-06,0.0724033610184699,100,0.07566570800713125,0.0,0.2529473736987869,18,0.18,50,0.07550887442501075,0.06388941102584307,0.0826452682084535,50,1.0,200,0.0197568153078791,0.0,0.15072135964775007,70,0.35,0.0334479238966747,0.1265525726935018,10000,training_system_refit_fixed_observed_test_descriptive_50_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,False,False,True,False
tmhintqi,rmvpe_cont,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,3.083088093186836e-17,0.02933257337673,4.94476531942567e-09,0.0023433231040376,100,0.0,0.0,3.2897019283348164e-17,100,1.0,50,0.00226288580697745,-0.0010922278282652449,0.005052539174189727,44,0.88,200,1.8625460416734014e-19,0.0,3.152677805504187e-17,200,1.0,0.0008393240691022,0.0040254395825166,10000,training_system_refit_fixed_observed_test_descriptive_50_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,True,True,True,True
tmhintqi,rmvpe_quant,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,7.518079151371956e-19,0.0292270947520646,2.7420795079002853e-09,0.003210621525143,100,0.0,0.0,0.0004549607204077009,97,0.97,50,-0.0046190407603666495,-0.021157900097978168,0.001912160648997627,9,0.18,200,2.5599585597291096e-19,0.0,3.2162077250028724e-17,198,0.99,-0.0027380315554873,0.0092919486812905,10000,training_system_refit_fixed_observed_test_descriptive_50_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,True,True,True,True
tmhintqi,ced,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.2837211714853023,0.5920338509262102,0.0002208647158629,0.0963675117040662,100,0.2442484200722177,0.10964402491304685,0.49443312089016267,0,0.0,50,0.10355940693283125,0.09379994719759552,0.12655301953984552,50,1.0,200,0.2811656200981901,0.0685590191137003,0.4695969399158518,0,0.0,0.04661398009989,0.1655664853792226,10000,training_system_refit_fixed_observed_test_descriptive_50_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,False,False,False,False
tmhintqi,egemaps,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0,0.4857785684552473,2.2021074630451665e-08,0.06949048836594,100,0.0222820014875813,0.0,0.09964198516366411,29,0.29,50,0.0726795197987614,0.0586390472611911,0.07735982135668464,50,1.0,200,2.270840737668351e-18,0.0,0.03405524814097633,164,0.82,0.0255179989621545,0.1322776638948349,10000,training_system_refit_fixed_observed_test_descriptive_50_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,True,True,True,True
