dataset,n_features,n_pairs,n_negative_correlations,minimum_oof_spearman,spearman_correlation_vs_negative_interaction,qap_p_two_sided,qap_p_positive,n_qap_permutations,feature
BRSpeechMOS,10,45,19,-0.2850480413336182,0.3681159420289854,0.0068699313006869,0.0068699313006869,100000,
BVCC,10,45,0,0.2024156518118342,0.943083003952569,9.99990000099999e-06,9.99990000099999e-06,100000,
SingMOS,10,45,5,-0.0649265243468427,0.4432147562582345,0.1243487565124348,0.0861691383086169,100000,
TMHINT-QI,10,45,5,-0.0603809435849243,0.957444005270092,9.99990000099999e-06,9.99990000099999e-06,100000,
