dataset,feature,relative_mse_tolerance,extreme,solver_success,weight,mse_threshold,loss,loss_active,n_active_lower_bounds,primal_residual,stationarity_residual,complementarity_residual,dual_fit_cost
BRSpeechMOS,Whisper,0.001,min,1,0.0049252328764054,1.0110158898826718,1.0110158898826718,1,6,0.0,1.1401279920164598e-09,5.367078273268328e-16,9.886108013535985e-19
BRSpeechMOS,Whisper,0.001,max,1,0.0546758873263961,1.0110158898826718,1.0110158898826744,1,6,2.664535259100376e-15,9.290118896387868e-09,3.2812277524375194e-14,6.518502105548868e-17
BRSpeechMOS,ContentVec,0.001,min,1,0.1225452942420717,1.0110158898826718,1.0110158898826724,1,6,6.661338147750939e-16,2.052843228739221e-08,1.0118458268089483e-14,3.166778016116529e-16
BRSpeechMOS,ContentVec,0.001,max,1,0.1839125583790079,1.0110158898826718,1.0110158898828725,1,6,2.005062782473033e-13,2.1115324599918495e-07,3.045655707618552e-12,3.392681541710812e-14
BRSpeechMOS,WavLM,0.001,min,1,0.268476079511715,1.0110158898826718,1.011015889882676,1,6,4.218847493575595e-15,1.5300329891942963e-09,7.019299264238307e-14,2.329420554260265e-18
BRSpeechMOS,WavLM,0.001,max,1,0.3356938073132829,1.0110158898826718,1.011015889882673,1,6,1.3322676295501878e-15,3.044469565338659e-09,2.216620819613755e-14,8.180508786573341e-18
BRSpeechMOS,BEATs,0.001,min,1,0.0,1.0110158898826718,1.0100058839986732,0,6,0.0,4.695012019230764e-06,2.0611574841670155e-21,7.935529629859683e-11
BRSpeechMOS,BEATs,0.001,max,1,0.0018969470158207,1.0110158898826718,1.0110158898826729,1,5,8.881784197001252e-16,8.923004557459534e-10,1.6532941958433013e-15,6.261380609841249e-19
BRSpeechMOS,ERB,0.001,min,1,0.0,1.0110158898826718,1.0100058839986732,0,6,0.0,4.69501201923076e-06,2.0611574841670125e-21,7.935529629859661e-11
BRSpeechMOS,ERB,0.001,max,1,0.0008759486906927,1.0110158898826718,1.011015889883122,1,5,4.5030645878796354e-13,2.335799109687286e-09,3.891379728383141e-13,7.224820281246628e-18
BRSpeechMOS,Speaker,0.001,min,1,0.0,1.0110158898826718,1.0100058839986732,0,6,0.0,4.695012019230767e-06,2.061157484167017e-21,7.93552962985969e-11
BRSpeechMOS,Speaker,0.001,max,1,0.0207427859984973,1.0110158898826718,1.011015889882685,1,5,1.3322676295501878e-14,2.617382754976916e-07,2.1943384737990746e-13,6.645233220683699e-14
BRSpeechMOS,RMVPE-c,0.001,min,1,1.0752041679566011e-16,1.0110158898826718,1.0100058839986732,0,6,0.0,4.69501201923077e-06,1.0752092160530928e-16,7.935529629859699e-11
BRSpeechMOS,RMVPE-c,0.001,max,1,0.0068828571072144,1.0110158898826718,1.0110158898830743,1,5,4.025668687290818e-13,2.77715613172802e-07,2.6803944712618345e-12,8.214239265820176e-14
