method,reference,mean_normalized_mse_delta,ci95_low,ci95_high,probability_delta_lt_0,n_corpora,n_budgets,n_bootstrap,p_two_sided_bootstrap,p_holm_all_five
gate,inner_search,-0.015056024906991356,-0.028165786137537674,0.007380552694299668,0.9079,4,4,10000,0.18419999999999992,0.6943999999999999
shapley,inner_search,-0.021451644672244856,-0.03773489874420732,0.007075294858035744,0.9132,4,4,10000,0.17359999999999998,0.6943999999999999
singleton,inner_search,-0.0071584692922981585,-0.02913649633715904,0.014385416522557077,0.6629,4,4,10000,0.6741999999999999,1.0
gate,singleton,-0.007897555614693198,-0.0329623598044356,0.012865606666736518,0.7103,4,4,10000,0.5793999999999999,1.0
shapley,singleton,-0.014293175379946697,-0.032254997657444495,-0.0006604417075421396,0.9852,4,4,10000,0.02960000000000007,0.14800000000000035
