dataset,outer_fold,method,k,mask,features,inner_equal_system_mse,inner_utterance_mse,outer_utterance_mse,n_outer_systems,n_outer_items,weights_json
tmhintqi,2,gate,10,1023,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+rmvpe_cont+rmvpe_quant+ced+egemaps,0.9119120496167996,0.9003013633114358,0.8980740166374772,21,2393,"{""whisper"": 0.20979863733475534, ""contentvec12"": 0.08955489294751089, ""wavlm"": 0.16009590647265567, ""beats"": 0.20588882593832084, ""auditory_erb"": 4.858580985450667e-18, ""speaker"": 0.10384280320822965, ""rmvpe_cont"": 1.4992483166401116e-18, ""rmvpe_quant"": 0.0, ""ced"": 0.23081893409852766, ""egemaps"": 3.513492665210838e-18}"
tmhintqi,2,shapley,1,256,ced,0.9917034798559174,0.973368242564414,0.984115472368108,21,2393,"{""ced"": 1.0}"
tmhintqi,2,shapley,2,264,beats+ced,0.9494555701300396,0.9338757187423358,0.9383405932603522,21,2393,"{""beats"": 0.43563275982081556, ""ced"": 0.5643672401791844}"
tmhintqi,2,shapley,3,268,wavlm+beats+ced,0.9302839256531568,0.9152408991045164,0.913167636575429,21,2393,"{""wavlm"": 0.33122444164173165, ""beats"": 0.29309572014343094, ""ced"": 0.3756798382148374}"
tmhintqi,2,shapley,4,269,whisper+wavlm+beats+ced,0.9163064330737783,0.9008191078675672,0.898676579079437,21,2393,"{""whisper"": 0.23857340032080954, ""wavlm"": 0.22524922426285648, ""beats"": 0.23897238399117768, ""ced"": 0.29720499142515633}"
tmhintqi,2,shapley,5,301,whisper+wavlm+beats+speaker+ced,0.9134800697407084,0.9017351140474372,0.8994638409432195,21,2393,"{""whisper"": 0.2193061453592266, ""wavlm"": 0.19319823939582395, ""beats"": 0.21583572572196597, ""speaker"": 0.11982737779354605, ""ced"": 0.25183251172943744}"
tmhintqi,2,shapley,6,303,whisper+contentvec12+wavlm+beats+speaker+ced,0.9119120324166498,0.9002905558567182,0.898071112799352,21,2393,"{""whisper"": 0.20972892582053787, ""contentvec12"": 0.0896079229091331, ""wavlm"": 0.16011489015040314, ""beats"": 0.20600443538520288, ""speaker"": 0.10358271839601699, ""ced"": 0.23096110733870612}"
tmhintqi,2,shapley,7,815,whisper+contentvec12+wavlm+beats+speaker+ced+egemaps,0.9119120439291803,0.9002921236564732,0.8980730894816313,21,2393,"{""whisper"": 0.20975478513280565, ""contentvec12"": 0.0893891312276274, ""wavlm"": 0.1601057501650009, ""beats"": 0.20608181663298922, ""speaker"": 0.10366571717646232, ""ced"": 0.23100279966511453, ""egemaps"": 0.0}"
tmhintqi,2,shapley,8,831,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+ced+egemaps,0.9119120494627831,0.9003013600991226,0.8980740988931306,21,2393,"{""whisper"": 0.20979020016095248, ""contentvec12"": 0.08955384703714656, ""wavlm"": 0.1601036467694974, ""beats"": 0.2058879164092362, ""auditory_erb"": 0.0, ""speaker"": 0.10384351011181864, ""ced"": 0.2308208795113488, ""egemaps"": 9.18861341181465e-18}"
tmhintqi,2,shapley,9,895,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+rmvpe_cont+ced+egemaps,0.9119120323264944,0.9002900634208912,0.8980711187572638,21,2393,"{""whisper"": 0.20972846129709083, ""contentvec12"": 0.08961014833301627, ""wavlm"": 0.16009938819514646, ""beats"": 0.2060232035123669, ""auditory_erb"": 2.0271616010163543e-18, ""speaker"": 0.10357013203210601, ""rmvpe_cont"": 6.352005950578405e-18, ""ced"": 0.23096866663027354, ""egemaps"": 2.2658131339052534e-18}"
tmhintqi,2,shapley,10,1023,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+rmvpe_cont+rmvpe_quant+ced+egemaps,0.9119120496167996,0.9003013633114358,0.8980740166374772,21,2393,"{""whisper"": 0.20979863733475534, ""contentvec12"": 0.08955489294751089, ""wavlm"": 0.16009590647265567, ""beats"": 0.20588882593832084, ""auditory_erb"": 4.858580985450667e-18, ""speaker"": 0.10384280320822965, ""rmvpe_cont"": 1.4992483166401116e-18, ""rmvpe_quant"": 0.0, ""ced"": 0.23081893409852766, ""egemaps"": 3.513492665210838e-18}"
tmhintqi,2,singleton,1,256,ced,0.9917034798559174,0.973368242564414,0.984115472368108,21,2393,"{""ced"": 1.0}"
tmhintqi,2,singleton,2,260,wavlm+ced,0.9457576057729375,0.9294796665129346,0.9292431162821058,21,2393,"{""wavlm"": 0.46123388011827476, ""ced"": 0.5387661198817253}"
tmhintqi,2,singleton,3,268,wavlm+beats+ced,0.9302839256531568,0.9152408991045164,0.913167636575429,21,2393,"{""wavlm"": 0.33122444164173165, ""beats"": 0.29309572014343094, ""ced"": 0.3756798382148374}"
tmhintqi,2,singleton,4,269,whisper+wavlm+beats+ced,0.9163064330737783,0.9008191078675672,0.898676579079437,21,2393,"{""whisper"": 0.23857340032080954, ""wavlm"": 0.22524922426285648, ""beats"": 0.23897238399117768, ""ced"": 0.29720499142515633}"
