dataset,method,k,feature,selected_outer_folds,n_outer_folds,selection_frequency
brspeech,shapley,5,wavlm,5,5,1.0
brspeech,shapley,5,beats,0,5,0.0
brspeech,shapley,5,auditory_erb,1,5,0.2
brspeech,shapley,5,speaker,5,5,1.0
brspeech,shapley,5,rmvpe_cont,2,5,0.4
brspeech,shapley,5,rmvpe_quant,0,5,0.0
brspeech,shapley,5,ced,4,5,0.8
brspeech,shapley,5,egemaps,5,5,1.0
brspeech,singleton,1,whisper,0,5,0.0
brspeech,singleton,1,contentvec12,0,5,0.0
brspeech,singleton,1,wavlm,1,5,0.2
brspeech,singleton,1,beats,0,5,0.0
brspeech,singleton,1,auditory_erb,0,5,0.0
brspeech,singleton,1,speaker,1,5,0.2
brspeech,singleton,1,rmvpe_cont,0,5,0.0
brspeech,singleton,1,rmvpe_quant,0,5,0.0
brspeech,singleton,1,ced,0,5,0.0
brspeech,singleton,1,egemaps,3,5,0.6
brspeech,singleton,2,whisper,0,5,0.0
brspeech,singleton,2,contentvec12,0,5,0.0
brspeech,singleton,2,wavlm,3,5,0.6
brspeech,singleton,2,beats,0,5,0.0
brspeech,singleton,2,auditory_erb,0,5,0.0
brspeech,singleton,2,speaker,1,5,0.2
brspeech,singleton,2,rmvpe_cont,0,5,0.0
brspeech,singleton,2,rmvpe_quant,0,5,0.0
brspeech,singleton,2,ced,1,5,0.2
brspeech,singleton,2,egemaps,5,5,1.0
brspeech,singleton,3,whisper,0,5,0.0
brspeech,singleton,3,contentvec12,0,5,0.0
brspeech,singleton,3,wavlm,4,5,0.8
brspeech,singleton,3,beats,0,5,0.0
brspeech,singleton,3,auditory_erb,1,5,0.2
brspeech,singleton,3,speaker,3,5,0.6
brspeech,singleton,3,rmvpe_cont,1,5,0.2
brspeech,singleton,3,rmvpe_quant,0,5,0.0
brspeech,singleton,3,ced,1,5,0.2
brspeech,singleton,3,egemaps,5,5,1.0
brspeech,singleton,5,whisper,0,5,0.0
brspeech,singleton,5,contentvec12,2,5,0.4
brspeech,singleton,5,wavlm,5,5,1.0
brspeech,singleton,5,beats,0,5,0.0
brspeech,singleton,5,auditory_erb,1,5,0.2
brspeech,singleton,5,speaker,5,5,1.0
brspeech,singleton,5,rmvpe_cont,4,5,0.8
brspeech,singleton,5,rmvpe_quant,0,5,0.0
brspeech,singleton,5,ced,3,5,0.6
brspeech,singleton,5,egemaps,5,5,1.0
bvcc,gate,1,whisper,0,5,0.0
bvcc,gate,1,contentvec12,0,5,0.0
bvcc,gate,1,wavlm,0,5,0.0
bvcc,gate,1,beats,0,5,0.0
bvcc,gate,1,auditory_erb,0,5,0.0
bvcc,gate,1,speaker,0,5,0.0
bvcc,gate,1,rmvpe_cont,0,5,0.0
bvcc,gate,1,rmvpe_quant,0,5,0.0
bvcc,gate,1,ced,5,5,1.0
bvcc,gate,1,egemaps,0,5,0.0
bvcc,gate,2,whisper,2,5,0.4
bvcc,gate,2,contentvec12,0,5,0.0
bvcc,gate,2,wavlm,2,5,0.4
bvcc,gate,2,beats,1,5,0.2
bvcc,gate,2,auditory_erb,0,5,0.0
bvcc,gate,2,speaker,0,5,0.0
bvcc,gate,2,rmvpe_cont,0,5,0.0
bvcc,gate,2,rmvpe_quant,0,5,0.0
bvcc,gate,2,ced,5,5,1.0
bvcc,gate,2,egemaps,0,5,0.0
bvcc,gate,3,whisper,4,5,0.8
bvcc,gate,3,contentvec12,0,5,0.0
bvcc,gate,3,wavlm,3,5,0.6
bvcc,gate,3,beats,3,5,0.6
bvcc,gate,3,auditory_erb,0,5,0.0
bvcc,gate,3,speaker,0,5,0.0
bvcc,gate,3,rmvpe_cont,0,5,0.0
bvcc,gate,3,rmvpe_quant,0,5,0.0
bvcc,gate,3,ced,5,5,1.0
bvcc,gate,3,egemaps,0,5,0.0
bvcc,gate,5,whisper,5,5,1.0
bvcc,gate,5,contentvec12,1,5,0.2
bvcc,gate,5,wavlm,5,5,1.0
bvcc,gate,5,beats,5,5,1.0
bvcc,gate,5,auditory_erb,0,5,0.0
bvcc,gate,5,speaker,4,5,0.8
bvcc,gate,5,rmvpe_cont,0,5,0.0
bvcc,gate,5,rmvpe_quant,0,5,0.0
