dataset,method,k,feature,selected_outer_folds,n_outer_folds,selection_frequency
tmhintqi,shapley,1,wavlm,4,5,0.8
tmhintqi,shapley,1,beats,0,5,0.0
tmhintqi,shapley,1,auditory_erb,0,5,0.0
tmhintqi,shapley,1,speaker,0,5,0.0
tmhintqi,shapley,1,rmvpe_cont,0,5,0.0
tmhintqi,shapley,1,rmvpe_quant,0,5,0.0
tmhintqi,shapley,1,ced,1,5,0.2
tmhintqi,shapley,1,egemaps,0,5,0.0
tmhintqi,shapley,2,whisper,1,5,0.2
tmhintqi,shapley,2,contentvec12,0,5,0.0
tmhintqi,shapley,2,wavlm,4,5,0.8
tmhintqi,shapley,2,beats,1,5,0.2
tmhintqi,shapley,2,auditory_erb,0,5,0.0
tmhintqi,shapley,2,speaker,0,5,0.0
tmhintqi,shapley,2,rmvpe_cont,0,5,0.0
tmhintqi,shapley,2,rmvpe_quant,0,5,0.0
tmhintqi,shapley,2,ced,4,5,0.8
tmhintqi,shapley,2,egemaps,0,5,0.0
tmhintqi,shapley,3,whisper,1,5,0.2
tmhintqi,shapley,3,contentvec12,0,5,0.0
tmhintqi,shapley,3,wavlm,5,5,1.0
tmhintqi,shapley,3,beats,4,5,0.8
tmhintqi,shapley,3,auditory_erb,0,5,0.0
tmhintqi,shapley,3,speaker,1,5,0.2
tmhintqi,shapley,3,rmvpe_cont,0,5,0.0
tmhintqi,shapley,3,rmvpe_quant,0,5,0.0
tmhintqi,shapley,3,ced,4,5,0.8
tmhintqi,shapley,3,egemaps,0,5,0.0
tmhintqi,shapley,5,whisper,5,5,1.0
tmhintqi,shapley,5,contentvec12,3,5,0.6
tmhintqi,shapley,5,wavlm,5,5,1.0
tmhintqi,shapley,5,beats,5,5,1.0
tmhintqi,shapley,5,auditory_erb,0,5,0.0
tmhintqi,shapley,5,speaker,2,5,0.4
tmhintqi,shapley,5,rmvpe_cont,0,5,0.0
tmhintqi,shapley,5,rmvpe_quant,0,5,0.0
tmhintqi,shapley,5,ced,5,5,1.0
tmhintqi,shapley,5,egemaps,0,5,0.0
tmhintqi,singleton,1,whisper,0,5,0.0
tmhintqi,singleton,1,contentvec12,0,5,0.0
tmhintqi,singleton,1,wavlm,4,5,0.8
tmhintqi,singleton,1,beats,0,5,0.0
tmhintqi,singleton,1,auditory_erb,0,5,0.0
tmhintqi,singleton,1,speaker,0,5,0.0
tmhintqi,singleton,1,rmvpe_cont,0,5,0.0
tmhintqi,singleton,1,rmvpe_quant,0,5,0.0
tmhintqi,singleton,1,ced,1,5,0.2
tmhintqi,singleton,1,egemaps,0,5,0.0
tmhintqi,singleton,2,whisper,0,5,0.0
tmhintqi,singleton,2,contentvec12,0,5,0.0
tmhintqi,singleton,2,wavlm,5,5,1.0
tmhintqi,singleton,2,beats,1,5,0.2
tmhintqi,singleton,2,auditory_erb,0,5,0.0
tmhintqi,singleton,2,speaker,0,5,0.0
tmhintqi,singleton,2,rmvpe_cont,0,5,0.0
tmhintqi,singleton,2,rmvpe_quant,0,5,0.0
tmhintqi,singleton,2,ced,4,5,0.8
tmhintqi,singleton,2,egemaps,0,5,0.0
tmhintqi,singleton,3,whisper,0,5,0.0
tmhintqi,singleton,3,contentvec12,0,5,0.0
tmhintqi,singleton,3,wavlm,5,5,1.0
tmhintqi,singleton,3,beats,4,5,0.8
tmhintqi,singleton,3,auditory_erb,0,5,0.0
tmhintqi,singleton,3,speaker,1,5,0.2
tmhintqi,singleton,3,rmvpe_cont,0,5,0.0
tmhintqi,singleton,3,rmvpe_quant,0,5,0.0
tmhintqi,singleton,3,ced,5,5,1.0
tmhintqi,singleton,3,egemaps,0,5,0.0
tmhintqi,singleton,5,whisper,4,5,0.8
tmhintqi,singleton,5,contentvec12,0,5,0.0
tmhintqi,singleton,5,wavlm,5,5,1.0
tmhintqi,singleton,5,beats,5,5,1.0
tmhintqi,singleton,5,auditory_erb,0,5,0.0
tmhintqi,singleton,5,speaker,5,5,1.0
tmhintqi,singleton,5,rmvpe_cont,0,5,0.0
tmhintqi,singleton,5,rmvpe_quant,0,5,0.0
tmhintqi,singleton,5,ced,5,5,1.0
tmhintqi,singleton,5,egemaps,1,5,0.2
