method,mean_mse_ratio_to_full,median_mse_ratio_to_full,mean_rank,wins,comparisons,nonempty_coalitions_scored
gate,1.0600875713349078,1.0270100847136852,2.375,5,16,1
inner_search,1.0751435962418991,1.0464929482477292,2.125,9,16,1023
shapley,1.0536919515696543,1.0270100847136852,1.875,7,16,1023
singleton,1.067985126949601,1.0291910587709834,2.4375,6,16,10
