dataset,protocol,n_pairs,n_test_systems,rho_oof_correlation_vs_negative_interaction,rho_oof_ci95_test_system_sampling_interaction_only_low,rho_oof_ci95_test_system_sampling_interaction_only_high,rho_test_correlation_vs_negative_interaction,rho_test_joint_system_bootstrap_ci95_low,rho_test_joint_system_bootstrap_ci95_high,n_bootstrap,max_saved_mse_reconstruction_error,uncertainty_scope
brspeech,reduced_9_player_no_egemaps_common_alpha10,36,6,0.32432432432432434,0.01673101673101673,0.48005148005148013,0.5994851994851995,0.11608751608751611,0.7794079794079793,2000,4.176128430843917e-05,test-system sampling; fitted experts and gates fixed
bvcc,reduced_9_player_no_egemaps_common_alpha10,36,187,0.903989703989704,0.8385971685971688,0.931023166023166,0.9634491634491634,0.9106628056628058,0.978893178893179,2000,1.1299545107312792e-05,test-system sampling; fitted experts and gates fixed
singmos,reduced_9_player_no_egemaps_common_alpha10,36,35,0.3261261261261261,0.1232754182754183,0.7523873873873873,0.33539253539253544,0.1853024453024453,0.7444144144144144,2000,9.940391963525474e-05,test-system sampling; fitted experts and gates fixed
tmhintqi,reduced_9_player_no_egemaps_common_alpha10,36,97,0.9377091377091378,0.8087451737451739,0.9508365508365509,0.9567567567567569,0.8607464607464609,0.9742599742599743,2000,2.3649570061734515e-05,test-system sampling; fitted experts and gates fixed
