dataset,spec,feature,median_weight,ci95_low,ci95_high,probability_zero
singmos,core_plus_beats,rmvpe_quant,0.09179435038403191,0.00605342781384118,0.20264428290343242,0.02
singmos,core_plus_beats,speaker,0.2985560567870321,0.13187310647287706,0.429278208211951,0.0
singmos,core_plus_ced,ced,0.46952904004227675,0.29885353281076094,0.59461912610423,0.0
singmos,core_plus_ced,contentvec12,0.1653687336207112,0.08445988059009295,0.23622852745627074,0.0
singmos,core_plus_ced,rmvpe_cont,0.0922826650830143,0.0,0.2461382886844755,0.15
singmos,core_plus_ced,rmvpe_quant,0.05048041664844258,0.0,0.1537320161295051,0.14
singmos,core_plus_ced,speaker,0.21851233967377903,0.09041776968024694,0.3323241210367418,0.0
singmos,full,auditory_erb,5.714865120675759e-18,0.0,0.13651957327148284,0.73
singmos,full,beats,0.10389128794226915,0.0,0.21613847172943423,0.06
singmos,full,ced,0.229591724267798,0.07997702621902347,0.3301714779295315,0.0
singmos,full,contentvec12,0.06616946821951403,0.0021834522575975603,0.12949363288166424,0.01
singmos,full,egemaps,0.26314621681553013,0.11249330491569436,0.3842319565344861,0.0
singmos,full,rmvpe_cont,1.5043503666583387e-18,0.0,0.018966265105304518,0.93
singmos,full,rmvpe_quant,1.3432442865002645e-17,0.0,0.08877348230485059,0.54
singmos,full,speaker,0.03913410924603384,0.0,0.13811406356654773,0.23
singmos,full,wavlm,0.1858047767245117,0.08167946541312412,0.32368742103702713,0.0
singmos,full,whisper,0.08623619037338504,0.026126360809979723,0.16144705761337755,0.0
tmhintqi,basic,auditory_erb,4.203216394719198e-18,0.0,0.03249737449854131,0.94
tmhintqi,basic,egemaps,0.4689320368310317,0.31616562029480555,0.790728489558848,0.0
tmhintqi,basic,rmvpe_cont,0.0,0.0,5.323408466349915e-17,1.0
tmhintqi,basic,rmvpe_quant,4.6177581905639955e-18,0.0,0.008278757751677093,0.93
tmhintqi,basic,speaker,0.5310679631689681,0.2092715104411513,0.6777633947721033,0.0
tmhintqi,core,contentvec12,0.4854667919307788,0.30593482423025925,0.7328437102768777,0.0
tmhintqi,core,rmvpe_cont,1.6263032587282567e-18,0.0,0.021741393513963585,0.87
tmhintqi,core,rmvpe_quant,1.6696713456276768e-17,0.0,0.074051964648492,0.54
tmhintqi,core,speaker,0.5139770247768823,0.26715628972312194,0.6617385196105611,0.0
tmhintqi,core_plus_beats,beats,0.36033138903976303,0.2386215146168048,0.5904174363858299,0.0
tmhintqi,core_plus_beats,contentvec12,0.29214891252244096,0.20179551071688145,0.48425358542378777,0.0
tmhintqi,core_plus_beats,rmvpe_cont,1.0730054557139867e-18,0.0,2.383656592692005e-17,0.99
tmhintqi,core_plus_beats,rmvpe_quant,1.9017213154839127e-18,0.0,0.03704278181860481,0.73
tmhintqi,core_plus_beats,speaker,0.29867754079881215,0.06795989357600264,0.47435582333927895,0.0
tmhintqi,core_plus_ced,ced,0.5156551249488593,0.33261376066691606,0.701251828674826,0.0
tmhintqi,core_plus_ced,contentvec12,0.24433587504296284,0.1786021472400297,0.3308643424648746,0.0
tmhintqi,core_plus_ced,rmvpe_cont,0.0,0.0,4.353423770598002e-17,1.0
