dataset,feature,relative_mse_tolerance,optimal_weight,optimal_oof_mse,mse_threshold,weight_min,loss_min,success_min,message_min,weight_max,loss_max,success_max,message_max,range_width
BRSpeechMOS,Whisper,0.001,0.0298005546110902,1.0100058839986732,1.0110158898826718,0.0049252328764054,1.0110158898826718,True,Optimization terminated successfully,0.0546758873263961,1.0110158898826744,True,Optimization terminated successfully,0.0497506544499907
BRSpeechMOS,ContentVec,0.001,0.1532288829605524,1.0100058839986732,1.0110158898826718,0.1225452942420717,1.0110158898826724,True,Optimization terminated successfully,0.1839125583790079,1.0110158898828725,True,Optimization terminated successfully,0.0613672641369362
BRSpeechMOS,WavLM,0.001,0.3020849624986584,1.0100058839986732,1.0110158898826718,0.268476079511715,1.011015889882676,True,Optimization terminated successfully,0.3356938073132829,1.011015889882673,True,Optimization terminated successfully,0.0672177278015679
BRSpeechMOS,BEATs,0.001,0.0,1.0100058839986732,1.0110158898826718,0.0,1.0100058839986732,True,Optimization terminated successfully,0.0018969470158207,1.0110158898826729,True,Optimization terminated successfully,0.0018969470158207
BRSpeechMOS,ERB,0.001,0.0,1.0100058839986732,1.0110158898826718,0.0,1.0100058839986732,True,Optimization terminated successfully,0.0008759486906927,1.011015889883122,True,Optimization terminated successfully,0.0008759486906927
BRSpeechMOS,Speaker,0.001,0.0,1.0100058839986732,1.0110158898826718,0.0,1.0100058839986732,True,Optimization terminated successfully,0.0207427859984973,1.011015889882685,True,Optimization terminated successfully,0.0207427859984973
BRSpeechMOS,RMVPE-c,0.001,1.0752041679566011e-16,1.0100058839986732,1.0110158898826718,1.0752041679566011e-16,1.0100058839986732,True,Optimization terminated successfully,0.0068828571072144,1.0110158898830743,True,Optimization terminated successfully,0.0068828571072143
BRSpeechMOS,RMVPE-q,0.001,2.4389447492650103e-16,1.0100058839986732,1.0110158898826718,2.4389447492650103e-16,1.0100058839986732,True,Optimization terminated successfully,0.0016577100722571,1.0110158898826769,True,Optimization terminated successfully,0.0016577100722569
BRSpeechMOS,CED,0.001,1.67055960525666e-16,1.0100058839986732,1.0110158898826718,1.67055960525666e-16,1.0100058839986732,True,Optimization terminated successfully,0.0157356357189788,1.0110158898828303,True,Optimization terminated successfully,0.0157356357189787
BRSpeechMOS,eGeMAPS,0.001,0.5148855999296984,1.0100058839986732,1.0110158898826718,0.4789970680417125,1.011015889882674,True,Optimization terminated successfully,0.5502711476850562,1.011015889882681,True,Optimization terminated successfully,0.0712740796433437
BRSpeechMOS,Whisper,0.005,0.0298005546110902,1.0100058839986732,1.0150559134186663,9.581166739515142e-16,1.015055913418666,True,Optimization terminated successfully,0.0854234827389924,1.0150559134186707,True,Optimization terminated successfully,0.0854234827389914
BRSpeechMOS,ContentVec,0.005,0.1532288829605524,1.0100058839986732,1.0150559134186663,0.0846182392108073,1.0150559134186674,True,Optimization terminated successfully,0.2218396134072434,1.0150559134186692,True,Optimization terminated successfully,0.1372213741964361
BRSpeechMOS,WavLM,0.005,0.3020849624986584,1.0100058839986732,1.0150559134186663,0.2269332390838072,1.0150559134186787,True,Optimization terminated successfully,0.377236647741113,1.0150559134186667,True,Optimization terminated successfully,0.1503034086573058
BRSpeechMOS,BEATs,0.005,0.0,1.0100058839986732,1.0150559134186663,0.0,1.0100058839986732,True,Optimization terminated successfully,0.0091691725764272,1.0150559134186723,True,Optimization terminated successfully,0.0091691725764272
BRSpeechMOS,ERB,0.005,0.0,1.0100058839986732,1.0150559134186663,0.0,1.0100058839986732,True,Optimization terminated successfully,0.0043186900208437,1.01505591341867,True,Optimization terminated successfully,0.0043186900208437
BRSpeechMOS,Speaker,0.005,0.0,1.0100058839986732,1.0150559134186663,0.0,1.0100058839986732,True,Optimization terminated successfully,0.0669251202491934,1.015055913418761,True,Optimization terminated successfully,0.0669251202491934
BRSpeechMOS,RMVPE-c,0.005,1.0752041679566011e-16,1.0100058839986732,1.0150559134186663,1.0752041679566011e-16,1.0100058839986732,True,Optimization terminated successfully,0.0317245193464158,1.0150559134186885,True,Optimization terminated successfully,0.0317245193464157
BRSpeechMOS,RMVPE-q,0.005,2.4389447492650103e-16,1.0100058839986732,1.0150559134186663,2.4389447492650103e-16,1.0100058839986732,True,Optimization terminated successfully,0.0080734616161888,1.015055913418721,True,Optimization terminated successfully,0.0080734616161886
BRSpeechMOS,CED,0.005,1.67055960525666e-16,1.0100058839986732,1.0150559134186663,1.67055960525666e-16,1.0100058839986732,True,Optimization terminated successfully,0.0551680469909974,1.0150559134186896,True,Optimization terminated successfully,0.0551680469909972
BRSpeechMOS,eGeMAPS,0.005,0.5148855999296984,1.0100058839986732,1.0150559134186663,0.4235195681039984,1.0150559134186832,True,Optimization terminated successfully,0.5940101269079731,1.015055913418679,True,Optimization terminated successfully,0.1704905588039746
BRSpeechMOS,Whisper,0.01,0.0298005546110902,1.0100058839986732,1.02010594283866,9.367506770274758e-16,1.0199545033116708,True,Optimization terminated successfully,0.1084632516742761,1.0201059428386614,True,Optimization terminated successfully,0.1084632516742752
