dataset,feature,phi_utt,utt_lo,utt_hi,phi_sys,sys_lo,sys_hi,gate,zero_gate
brspeech,whisper,-0.048603838780309924,-0.12599991614897282,0.04765705258110563,-0.0014575671359572634,-0.08049609579049846,0.07279376228720359,0.02980055461108998,False
brspeech,contentvec12,0.08847879892840592,0.003006799114235488,0.1801350117431927,0.08502763096451471,0.015025916350501678,0.16065838042206385,0.1532288829605517,False
brspeech,wavlm,0.12949534204623023,0.04853095926458495,0.21245283102701928,0.13746205230968453,0.07817289660596677,0.19543458791719734,0.3020849624986589,False
brspeech,beats,0.04884917234227174,-0.011149990808018958,0.1092372085322802,0.04157163205460131,-0.0013057272677248835,0.08718285236943973,6.3592586701892684e-18,True
brspeech,auditory_erb,0.05137882875648576,0.014328547819286965,0.09037904949041234,0.05501039926036401,0.027847649388515836,0.08172386233452505,0.0,True
brspeech,speaker,0.12016599298806102,0.08262009821512793,0.1754713463325849,0.14134276067965676,0.09960189889644508,0.1853001339419571,1.7996308828059646e-16,True
brspeech,rmvpe_cont,0.004173130899924604,-0.035916702824812054,0.04160359069440084,-0.0036217024200068085,-0.034201704523360875,0.027615427294864093,1.3897018102695086e-17,True
brspeech,rmvpe_quant,-0.0033499136157633565,-0.019365588392360078,0.022651256064934483,0.015614081266664073,-0.010562632583783855,0.04140316602004724,2.8081378897856393e-17,True
brspeech,ced,0.12429630180104487,0.06454934535599564,0.18354253220967792,0.1467188163303183,0.09788327732372072,0.18512258753884683,0.0,True
brspeech,egemaps,0.16929328816959963,0.05853352117157639,0.2916051422084481,0.1998221205588329,0.12009761690686395,0.27311117772116156,0.5148855999296992,False
bvcc,whisper,0.06564097664960936,0.04275579435842797,0.08926610607941353,0.06392776012501163,0.04414492058911513,0.08365581955145439,0.24948356301409777,False
bvcc,contentvec12,0.07943001857024004,0.05695650872733276,0.10273289529704546,0.07005153835075402,0.05358636927820721,0.08611788352579633,0.0613866786806006,False
bvcc,wavlm,0.09389853195440642,0.07033694322876832,0.11911086574557349,0.08411335657970112,0.0665026875737407,0.1024299615592935,0.16720539555582245,False
bvcc,beats,0.1136991892867531,0.08930744280154002,0.13999472893769996,0.10343294744130926,0.08353533672127851,0.1238323020243394,0.20028185678034421,False
bvcc,auditory_erb,0.02315574858696355,0.011648224271463866,0.03757583655797417,0.025111198730044845,0.017003815762401932,0.033422517301208064,3.700774296826724e-17,True
bvcc,speaker,0.08577724679068753,0.0634556531886083,0.11009208785309314,0.072802843485155,0.056186857879770936,0.08982091092715021,0.09944090886036855,False
bvcc,rmvpe_cont,0.00678896689505072,0.0009547758958710584,0.013114737746079649,0.006753079214709256,0.0014076395422833808,0.012081579983243185,2.347903861383996e-17,True
bvcc,rmvpe_quant,0.003386346124219677,-0.0019076108635658106,0.00901177505485263,0.007603122712535991,0.002537067837624225,0.01304906305750265,0.0,True
bvcc,ced,0.1157634226172089,0.09094910937376315,0.142090446350557,0.10376736251267506,0.08200120315791612,0.1262687474428684,0.2222015971087664,False
bvcc,egemaps,0.04999433340746452,0.03321021519876285,0.06839281228658187,0.0498801813267805,0.03649072926672072,0.06299459390462006,0.0,True
singmos,whisper,-0.011315404193459465,-0.05351026576894039,0.025064997171240687,-0.0024208741521405904,-0.029477761961562887,0.022787813674310084,0.10357329591730864,False
singmos,contentvec12,-0.0004963248022334288,-0.02148108480533552,0.019992719954118325,0.005860869557101252,-0.015065307566672063,0.023217709982689252,0.07613557020214748,False
singmos,wavlm,0.032092025503572576,0.014381459286121324,0.04887601708821705,0.033660886323018176,0.014759704534230316,0.05153311125299523,0.21563143211779698,False
singmos,beats,0.03749347595933538,0.015453131382312196,0.0600177220597007,0.03918857070914843,0.017452147013760327,0.06191525388261853,0.1525446447712445,False
singmos,auditory_erb,0.018056890119947152,0.006455748814453085,0.029070439833882914,0.01456930521496748,0.0042819777972403685,0.024099209862644928,1.0052997299597863e-17,True
singmos,speaker,0.03238366081358611,0.02311890282013934,0.041191132942845446,0.02952790061584277,0.01834892149976546,0.04059435640093087,0.007803350716647267,False
singmos,rmvpe_cont,0.011110005036644303,0.004713549022567539,0.017718483986966953,0.0082686325584145,0.003354066242742005,0.013198567350162898,6.998570022019254e-18,True
singmos,rmvpe_quant,0.0027011967415843654,-0.011574241885495953,0.014245303520630241,0.005792832923045903,-0.0031512971720120417,0.013786659697796702,4.211818390662805e-18,True
singmos,ced,0.06047271353397483,0.03458354904854347,0.08559334987623378,0.06664912632400644,0.045595545501695416,0.08794760355122465,0.2313996295974314,False
singmos,egemaps,0.05787560579665749,0.04229270663142147,0.07381360935030813,0.054304062836039856,0.039797531243494104,0.06945767775834509,0.2129120766774237,False
tmhintqi,whisper,0.1039670761390876,0.06072245420489577,0.16380981957552568,0.07183367195180818,0.05943736201498811,0.0854872386953832,0.1921908739270383,False
tmhintqi,contentvec12,0.08048643211535011,0.03285473933866871,0.14754585082071855,0.04455029843751101,0.032100395205889906,0.058700627829694825,0.07161319808488463,False
tmhintqi,wavlm,0.10635058307986729,0.05768272600525679,0.1719747928910561,0.07322148931010124,0.057956427700997806,0.08979888895285697,0.16968607164707633,False
tmhintqi,beats,0.10350273446652547,0.054241631365037665,0.17074544889153367,0.06652045180439257,0.05209175450493046,0.08196098282735335,0.27102988535086064,False
tmhintqi,auditory_erb,0.022157281432014973,0.00836523101853468,0.038661624459565856,0.013304686696851748,0.007065501952863021,0.019733358102028715,0.0,True
tmhintqi,speaker,0.07240336262368885,0.03345974605216837,0.12684738117814556,0.043120016247377074,0.03260153381045961,0.05501590272749892,0.01175879950483767,False
tmhintqi,rmvpe_cont,0.002343324709257541,0.0007592386082194638,0.004025866478286178,0.0028984687422943193,0.001201369170123595,0.004595770100901626,3.0830880931868354e-17,True
tmhintqi,rmvpe_quant,0.0032106231303629077,-0.0028298646228210665,0.009112013583095834,0.0006017892265691268,-0.0035763300621393175,0.0037868458319237856,7.518079151371956e-19,True
tmhintqi,ced,0.09636751330928502,0.04690222743086574,0.1648822345174821,0.0575550195899978,0.0436892531757235,0.07280641009343235,0.28372117148530235,False
tmhintqi,egemaps,0.06949048997115952,0.025569428901121842,0.1317737306002351,0.03481697270696363,0.02408061917498945,0.0471676507641791,0.0,True
