dataset,outer_fold,method,k,mask,features,inner_mse,outer_utterance_mse,n_outer_systems,n_outer_items,weights_json
bvcc,1,shapley,7,815,whisper+contentvec12+wavlm+beats+speaker+ced+egemaps,0.250926141237509,0.3060231835898355,35,994,"{""whisper"": 0.23528290733796137, ""contentvec12"": 0.015007775313127782, ""wavlm"": 0.17886166992921615, ""beats"": 0.21512876480332116, ""speaker"": 0.13561396412630772, ""ced"": 0.22010491849006586, ""egemaps"": 1.0136734447367832e-17}"
bvcc,1,shapley,8,831,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+ced+egemaps,0.2509261412371462,0.3060231538347426,35,994,"{""whisper"": 0.23528317233700627, ""contentvec12"": 0.015007510035442215, ""wavlm"": 0.178861297786925, ""beats"": 0.2151291496301534, ""auditory_erb"": 0.0, ""speaker"": 0.13561294539097765, ""ced"": 0.22010592481949556, ""egemaps"": 5.851277129853105e-18}"
bvcc,1,shapley,9,895,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+rmvpe_cont+ced+egemaps,0.2509261412376829,0.3060231150403983,35,994,"{""whisper"": 0.23528296190601836, ""contentvec12"": 0.01500787595360735, ""wavlm"": 0.17886245147183172, ""beats"": 0.21513088068751232, ""auditory_erb"": 1.7196893029075333e-17, ""speaker"": 0.1356110594718838, ""rmvpe_cont"": 1.056695439267911e-17, ""ced"": 0.22010477050914656, ""egemaps"": 1.1436294746692741e-17}"
bvcc,1,shapley,10,1023,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+rmvpe_cont+rmvpe_quant+ced+egemaps,0.2509261412372006,0.306023149358241,35,994,"{""whisper"": 0.23528314276427936, ""contentvec12"": 0.015007763235368789, ""wavlm"": 0.1788621446669395, ""beats"": 0.21512971350979912, ""auditory_erb"": 3.089329005472427e-17, ""speaker"": 0.13561248127459646, ""rmvpe_cont"": 0.0, ""rmvpe_quant"": 0.0, ""ced"": 0.22010475454901685, ""egemaps"": 4.43463437790499e-18}"
bvcc,1,singleton,1,256,ced,0.3408087751249867,0.3785863489174095,35,994,"{""ced"": 1.0}"
bvcc,1,singleton,2,264,beats+ced,0.298893207022996,0.3531304522276153,35,994,"{""beats"": 0.44624302578054253, ""ced"": 0.5537569742194575}"
bvcc,1,singleton,3,268,wavlm+beats+ced,0.2692652248306016,0.3180932810514871,35,994,"{""wavlm"": 0.34866709607338514, ""beats"": 0.29325290459498193, ""ced"": 0.35807999933163287}"
bvcc,1,singleton,4,300,wavlm+beats+speaker+ced,0.2639160094728286,0.3177515717546074,35,994,"{""wavlm"": 0.2906307770195316, ""beats"": 0.2511613738138205, ""speaker"": 0.18159824156503407, ""ced"": 0.2766096076016139}"
bvcc,1,singleton,5,301,whisper+wavlm+beats+speaker+ced,0.2509684511944206,0.3062695311530481,35,994,"{""whisper"": 0.23844849689493414, ""wavlm"": 0.18629510847537245, ""beats"": 0.21582973863288646, ""speaker"": 0.13824507503235905, ""ced"": 0.2211815809644479}"
bvcc,1,singleton,6,303,whisper+contentvec12+wavlm+beats+speaker+ced,0.2509261412375117,0.3060231405482878,35,994,"{""whisper"": 0.2352834864520927, ""contentvec12"": 0.015007976350739168, ""wavlm"": 0.17886238076272543, ""beats"": 0.21512949745255275, ""speaker"": 0.13561220044713768, ""ced"": 0.2201044585347523}"
bvcc,1,singleton,7,815,whisper+contentvec12+wavlm+beats+speaker+ced+egemaps,0.250926141237509,0.3060231835898355,35,994,"{""whisper"": 0.23528290733796137, ""contentvec12"": 0.015007775313127782, ""wavlm"": 0.17886166992921615, ""beats"": 0.21512876480332116, ""speaker"": 0.13561396412630772, ""ced"": 0.22010491849006586, ""egemaps"": 1.0136734447367832e-17}"
bvcc,1,singleton,8,831,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+ced+egemaps,0.2509261412371462,0.3060231538347426,35,994,"{""whisper"": 0.23528317233700627, ""contentvec12"": 0.015007510035442215, ""wavlm"": 0.178861297786925, ""beats"": 0.2151291496301534, ""auditory_erb"": 0.0, ""speaker"": 0.13561294539097765, ""ced"": 0.22010592481949556, ""egemaps"": 5.851277129853105e-18}"
bvcc,1,singleton,9,895,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+rmvpe_cont+ced+egemaps,0.2509261412376829,0.3060231150403983,35,994,"{""whisper"": 0.23528296190601836, ""contentvec12"": 0.01500787595360735, ""wavlm"": 0.17886245147183172, ""beats"": 0.21513088068751232, ""auditory_erb"": 1.7196893029075333e-17, ""speaker"": 0.1356110594718838, ""rmvpe_cont"": 1.056695439267911e-17, ""ced"": 0.22010477050914656, ""egemaps"": 1.1436294746692741e-17}"
bvcc,1,singleton,10,1023,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+rmvpe_cont+rmvpe_quant+ced+egemaps,0.2509261412372006,0.306023149358241,35,994,"{""whisper"": 0.23528314276427936, ""contentvec12"": 0.015007763235368789, ""wavlm"": 0.1788621446669395, ""beats"": 0.21512971350979912, ""auditory_erb"": 3.089329005472427e-17, ""speaker"": 0.13561248127459646, ""rmvpe_cont"": 0.0, ""rmvpe_quant"": 0.0, ""ced"": 0.22010475454901685, ""egemaps"": 4.43463437790499e-18}"
bvcc,1,inner_search,1,256,ced,0.3408087751249867,0.3785863489174095,35,994,"{""ced"": 1.0}"
bvcc,1,inner_search,2,257,whisper+ced,0.2809783882657661,0.323007648625884,35,994,"{""whisper"": 0.42711759357654566, ""ced"": 0.5728824064234543}"
bvcc,1,inner_search,3,265,whisper+beats+ced,0.2635367039976742,0.313720103358914,35,994,"{""whisper"": 0.3474012244781201, ""beats"": 0.3045705890939396, ""ced"": 0.3480281864279403}"
bvcc,1,inner_search,4,269,whisper+wavlm+beats+ced,0.2539971728395275,0.3051328904495608,35,994,"{""whisper"": 0.2559398743643292, ""wavlm"": 0.22180581004003835, ""beats"": 0.24454401121002842, ""ced"": 0.277710304385604}"
bvcc,1,inner_search,5,301,whisper+wavlm+beats+speaker+ced,0.2509684511944206,0.3062695311530481,35,994,"{""whisper"": 0.23844849689493414, ""wavlm"": 0.18629510847537245, ""beats"": 0.21582973863288646, ""speaker"": 0.13824507503235905, ""ced"": 0.2211815809644479}"
bvcc,1,inner_search,6,303,whisper+contentvec12+wavlm+beats+speaker+ced,0.2509261412375117,0.3060231405482878,35,994,"{""whisper"": 0.2352834864520927, ""contentvec12"": 0.015007976350739168, ""wavlm"": 0.17886238076272543, ""beats"": 0.21512949745255275, ""speaker"": 0.13561220044713768, ""ced"": 0.2201044585347523}"
bvcc,1,inner_search,7,319,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+ced,0.2509261412371816,0.3060231602121519,35,994,"{""whisper"": 0.23528307463774564, ""contentvec12"": 0.015007688832957949, ""wavlm"": 0.17886201788909029, ""beats"": 0.21512942982500066, ""auditory_erb"": 0.0, ""speaker"": 0.13561293295153384, ""ced"": 0.22010485586367173}"
bvcc,1,inner_search,8,831,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+ced+egemaps,0.2509261412371462,0.3060231538347426,35,994,"{""whisper"": 0.23528317233700627, ""contentvec12"": 0.015007510035442215, ""wavlm"": 0.178861297786925, ""beats"": 0.2151291496301534, ""auditory_erb"": 0.0, ""speaker"": 0.13561294539097765, ""ced"": 0.22010592481949556, ""egemaps"": 5.851277129853105e-18}"
bvcc,1,inner_search,9,511,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+rmvpe_cont+rmvpe_quant+ced,0.2509261412372088,0.3060231480071066,35,994,"{""whisper"": 0.23528308945871748, ""contentvec12"": 0.01500779680642003, ""wavlm"": 0.17886217475106472, ""beats"": 0.2151297853125018, ""auditory_erb"": 1.3277525998341873e-17, ""speaker"": 0.13561242657758604, ""rmvpe_cont"": 0.0, ""rmvpe_quant"": 1.444431057446222e-17, ""ced"": 0.2201047270937098}"
bvcc,1,inner_search,10,1023,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+rmvpe_cont+rmvpe_quant+ced+egemaps,0.2509261412372006,0.306023149358241,35,994,"{""whisper"": 0.23528314276427936, ""contentvec12"": 0.015007763235368789, ""wavlm"": 0.1788621446669395, ""beats"": 0.21512971350979912, ""auditory_erb"": 3.089329005472427e-17, ""speaker"": 0.13561248127459646, ""rmvpe_cont"": 0.0, ""rmvpe_quant"": 0.0, ""ced"": 0.22010475454901685, ""egemaps"": 4.43463437790499e-18}"
bvcc,2,gate,1,256,ced,0.3618437648562879,0.3253231473672867,35,995,"{""ced"": 1.0}"
bvcc,2,gate,2,264,beats+ced,0.316135426262415,0.2883997474091466,35,995,"{""beats"": 0.4563172847748406, ""ced"": 0.5436827152251594}"
bvcc,2,gate,3,265,whisper+beats+ced,0.2767964616668282,0.2421270613173674,35,995,"{""whisper"": 0.3500519388570396, ""beats"": 0.31338990107580295, ""ced"": 0.3365581600671575}"
