dataset,feature,relative_mse_tolerance,extreme,solver_success,weight,mse_threshold,loss,loss_active,n_active_lower_bounds,primal_residual,stationarity_residual,complementarity_residual,dual_fit_cost
brspeech,whisper,0.001,min,1,0.0049252328764054516,1.0110158898826718,1.0110158898826718,1,6,0.0,1.1401279920164598e-09,5.367078273268328e-16,9.886108013535985e-19
brspeech,whisper,0.001,max,1,0.05467588732639618,1.0110158898826718,1.0110158898826744,1,6,2.6645352591003757e-15,9.290118896387867e-09,3.2812277524375194e-14,6.518502105548868e-17
brspeech,contentvec12,0.001,min,1,0.12254529424207174,1.0110158898826718,1.0110158898826724,1,6,6.661338147750939e-16,2.0528432287392206e-08,1.0118458268089483e-14,3.1667780161165294e-16
brspeech,contentvec12,0.001,max,1,0.18391255837900797,1.0110158898826718,1.0110158898828723,1,6,2.0050627824730327e-13,2.1115324599918495e-07,3.045655707618552e-12,3.392681541710812e-14
brspeech,wavlm,0.001,min,1,0.268476079511715,1.0110158898826718,1.011015889882676,1,6,4.218847493575595e-15,1.5300329891942965e-09,7.019299264238307e-14,2.3294205542602652e-18
brspeech,wavlm,0.001,max,1,0.33569380731328297,1.0110158898826718,1.011015889882673,1,6,1.3322676295501878e-15,3.044469565338659e-09,2.216620819613755e-14,8.180508786573341e-18
brspeech,beats,0.001,min,1,0.0,1.0110158898826718,1.0100058839986732,0,6,0.0,4.695012019230764e-06,2.0611574841670155e-21,7.935529629859683e-11
brspeech,beats,0.001,max,1,0.0018969470158207032,1.0110158898826718,1.0110158898826727,1,5,8.881784197001252e-16,8.923004557459535e-10,1.6532941958433013e-15,6.261380609841249e-19
brspeech,auditory_erb,0.001,min,1,0.0,1.0110158898826718,1.0100058839986732,0,6,0.0,4.69501201923076e-06,2.0611574841670125e-21,7.935529629859662e-11
brspeech,auditory_erb,0.001,max,1,0.0008759486906927052,1.0110158898826718,1.011015889883122,1,5,4.503064587879635e-13,2.3357991096872865e-09,3.891379728383141e-13,7.224820281246628e-18
brspeech,speaker,0.001,min,1,0.0,1.0110158898826718,1.0100058839986732,0,6,0.0,4.695012019230767e-06,2.061157484167017e-21,7.93552962985969e-11
brspeech,speaker,0.001,max,1,0.020742785998497305,1.0110158898826718,1.011015889882685,1,5,1.3322676295501878e-14,2.617382754976916e-07,2.1943384737990744e-13,6.645233220683698e-14
brspeech,rmvpe_cont,0.001,min,1,1.0752041679566011e-16,1.0110158898826718,1.0100058839986732,0,6,0.0,4.69501201923077e-06,1.0752092160530928e-16,7.935529629859699e-11
brspeech,rmvpe_cont,0.001,max,1,0.0068828571072144466,1.0110158898826718,1.0110158898830743,1,5,4.0256686872908176e-13,2.77715613172802e-07,2.6803944712618345e-12,8.214239265820176e-14
brspeech,rmvpe_quant,0.001,min,1,2.4389447492650103e-16,1.0110158898826718,1.0100058839986732,0,6,0.0,4.695012019230766e-06,2.438956200139922e-16,7.935529629859684e-11
brspeech,rmvpe_quant,0.001,max,1,0.0016577100722571755,1.0110158898826718,1.0110158898826769,1,5,5.10702591327572e-15,2.4401505260840395e-09,8.32479301688665e-15,4.558886106456804e-18
brspeech,ced,0.001,min,1,1.67055960525666e-16,1.0110158898826718,1.0100058839986732,0,6,0.0,4.695012019230762e-06,1.6705674485540854e-16,7.935529629859674e-11
brspeech,ced,0.001,max,1,0.015735635718978885,1.0110158898826718,1.0110158898828305,1,5,1.5876189252139739e-13,5.503790561078858e-07,2.1139722003279737e-12,2.4934928399997304e-13
brspeech,egemaps,0.001,min,1,0.4789970680417125,1.0110158898826718,1.011015889882674,1,5,2.220446049250313e-15,8.500222747898079e-10,4.3424415422836e-14,9.82679753914168e-19
brspeech,egemaps,0.001,max,1,0.5502711476850562,1.0110158898826718,1.0110158898826813,1,6,9.547918011776346e-15,1.1596057447604835e-11,1.6725575474200603e-13,1.1473235288478916e-22
brspeech,whisper,0.005,min,1,9.581166739515142e-16,1.0150559134186665,1.0150559134186659,1,1,0.0,1.0412943037100067e-16,9.58116673951514e-16,2.0117038553589217e-32
brspeech,whisper,0.005,max,1,0.0854234827389924,1.0150559134186665,1.0150559134186707,1,6,4.218847493575595e-15,1.3771461304656896e-08,2.3233986058326168e-14,1.6173914108619076e-16
brspeech,contentvec12,0.005,min,1,0.08461823921080736,1.0150559134186665,1.0150559134186674,1,6,8.881784197001252e-16,1.1525834509029664e-08,6.033482807285844e-15,1.2269288779167254e-16
brspeech,contentvec12,0.005,max,1,0.22183961340724348,1.0150559134186665,1.0150559134186692,1,6,2.6645352591003757e-15,5.77092151843317e-09,1.8100448547121607e-14,2.951815282131416e-17
brspeech,wavlm,0.005,min,1,0.2269332390838072,1.0150559134186665,1.0150559134186787,1,6,1.2212453270876722e-14,9.383782639815763e-11,9.086943866900007e-14,7.136697227430962e-21
brspeech,wavlm,0.005,max,1,0.377236647741113,1.0150559134186665,1.0150559134186667,1,6,2.220446049250313e-16,1.0831708863179301e-09,1.6521716125184803e-15,8.863087460233272e-19
brspeech,beats,0.005,min,1,0.0,1.0150559134186665,1.0100058839986732,0,6,0.0,4.695012019230764e-06,2.0611574841670155e-21,7.935529629859683e-11
brspeech,beats,0.005,max,1,0.00916917257642726,1.0150559134186665,1.0150559134186725,1,5,5.995204332975845e-15,1.7860144474468598e-09,1.0447050912096753e-14,2.1781074407541465e-18
brspeech,auditory_erb,0.005,min,1,0.0,1.0150559134186665,1.0100058839986732,0,6,0.0,4.69501201923076e-06,2.0611574841670125e-21,7.935529629859662e-11
brspeech,auditory_erb,0.005,max,1,0.0043186900208437295,1.0150559134186665,1.0150559134186699,1,5,3.3306690738754696e-15,1.4974741446849293e-09,2.7993735146875915e-15,2.6487538079588775e-18
brspeech,speaker,0.005,min,1,0.0,1.0150559134186665,1.0100058839986732,0,6,0.0,4.695012019230767e-06,2.061157484167017e-21,7.93552962985969e-11
brspeech,speaker,0.005,max,1,0.06692512024919343,1.0150559134186665,1.015055913418761,1,5,9.43689570931383e-14,1.7985874123382928e-08,8.260165473096396e-13,3.3027640900682804e-16
brspeech,rmvpe_cont,0.005,min,1,1.0752041679566011e-16,1.0150559134186665,1.0100058839986732,0,6,0.0,4.69501201923077e-06,1.0752092160530928e-16,7.935529629859699e-11
brspeech,rmvpe_cont,0.005,max,1,0.03172451934641584,1.0150559134186665,1.0150559134186885,1,5,2.19824158875781e-14,9.925233968033353e-09,1.2556177100101432e-13,7.164293087729937e-17
brspeech,rmvpe_quant,0.005,min,1,2.4389447492650103e-16,1.0150559134186665,1.0100058839986732,0,6,0.0,4.695012019230766e-06,2.438956200139922e-16,7.935529629859684e-11
brspeech,rmvpe_quant,0.005,max,1,0.008073461616188889,1.0150559134186665,1.015055913418721,1,5,5.440092820663267e-14,6.331203561416032e-09,8.422031901693154e-14,3.133724430115909e-17
brspeech,ced,0.005,min,1,1.67055960525666e-16,1.0150559134186665,1.0100058839986732,0,6,0.0,4.695012019230762e-06,1.6705674485540854e-16,7.935529629859674e-11
brspeech,ced,0.005,max,1,0.055168046990997456,1.0150559134186665,1.0150559134186896,1,5,2.3092638912203256e-14,4.8486791470736534e-08,1.7789908500916132e-13,2.151383258046572e-15
brspeech,egemaps,0.005,min,1,0.42351956810399843,1.0150559134186665,1.0150559134186832,1,4,1.6653345369377348e-14,1.396397451003395e-07,1.795850451342258e-13,1.325134102533408e-14
brspeech,egemaps,0.005,max,1,0.5940101269079731,1.0150559134186665,1.015055913418679,1,6,1.2434497875801753e-14,2.2103085584035398e-08,9.741271280620671e-14,3.950114736102462e-16
brspeech,whisper,0.01,min,1,9.367506770274758e-16,1.0201059428386599,1.0199545033116708,0,1,0.0,6.661338147750939e-16,9.367506770274764e-16,2.2877437524862207e-31
brspeech,whisper,0.01,max,1,0.10846325167427613,1.0201059428386599,1.0201059428386614,1,6,1.5543122344752192e-15,7.909734200950425e-09,6.052756033524193e-15,5.3552686073783425e-17
brspeech,contentvec12,0.01,min,1,0.05619876209100474,1.0201059428386599,1.0201059428386612,1,6,1.3322676295501878e-15,1.2016077022281024e-10,6.3994749397389436e-15,1.1155562822637383e-20
brspeech,contentvec12,0.01,max,1,0.25025909052713236,1.0201059428386599,1.0201059428386792,1,6,1.9317880628477724e-14,4.002859377294499e-09,9.27923866169689e-14,1.3920990910568985e-17
brspeech,wavlm,0.01,min,1,0.19580438391526903,1.0201059428386599,1.0201059428387131,1,6,5.3290705182007514e-14,8.941238860415979e-09,2.803828195259281e-13,7.058810236886388e-17
brspeech,wavlm,0.01,max,1,0.4083655029095784,1.0201059428386599,1.0201059428386827,1,6,2.2870594307278225e-14,4.7357176846674065e-08,1.203309599612821e-13,1.816346739194073e-15
brspeech,beats,0.01,min,1,0.0,1.0201059428386599,1.0100058839986732,0,6,0.0,4.695012019230764e-06,2.0611574841670155e-21,7.935529629859683e-11
brspeech,beats,0.01,max,1,0.017653149606256364,1.0201059428386599,1.0201059428387196,1,5,5.972999872483342e-14,1.980084540775806e-09,9.686668851381342e-14,3.141343307357115e-18
brspeech,auditory_erb,0.01,min,1,0.0,1.0201059428386599,1.0100058839986732,0,6,0.0,4.69501201923076e-06,2.0611574841670125e-21,7.935529629859662e-11
