dataset,feature,relative_mse_tolerance,optimal_weight,optimal_oof_mse,mse_threshold,weight_min,loss_min,success_min,message_min,weight_max,loss_max,success_max,message_max,range_width
brspeech,whisper,0.001,0.029800554611090213,1.0100058839986732,1.0110158898826718,0.0049252328764054516,1.0110158898826718,True,Optimization terminated successfully,0.05467588732639618,1.0110158898826744,True,Optimization terminated successfully,0.04975065444999073
brspeech,contentvec12,0.001,0.15322888296055243,1.0100058839986732,1.0110158898826718,0.12254529424207174,1.0110158898826724,True,Optimization terminated successfully,0.18391255837900797,1.0110158898828723,True,Optimization terminated successfully,0.06136726413693623
brspeech,wavlm,0.001,0.30208496249865846,1.0100058839986732,1.0110158898826718,0.268476079511715,1.011015889882676,True,Optimization terminated successfully,0.33569380731328297,1.011015889882673,True,Optimization terminated successfully,0.06721772780156798
brspeech,beats,0.001,0.0,1.0100058839986732,1.0110158898826718,0.0,1.0100058839986732,True,Optimization terminated successfully,0.0018969470158207032,1.0110158898826727,True,Optimization terminated successfully,0.0018969470158207032
brspeech,auditory_erb,0.001,0.0,1.0100058839986732,1.0110158898826718,0.0,1.0100058839986732,True,Optimization terminated successfully,0.0008759486906927052,1.011015889883122,True,Optimization terminated successfully,0.0008759486906927052
brspeech,speaker,0.001,0.0,1.0100058839986732,1.0110158898826718,0.0,1.0100058839986732,True,Optimization terminated successfully,0.020742785998497305,1.011015889882685,True,Optimization terminated successfully,0.020742785998497305
brspeech,rmvpe_cont,0.001,1.0752041679566011e-16,1.0100058839986732,1.0110158898826718,1.0752041679566011e-16,1.0100058839986732,True,Optimization terminated successfully,0.0068828571072144466,1.0110158898830743,True,Optimization terminated successfully,0.006882857107214339
brspeech,rmvpe_quant,0.001,2.4389447492650103e-16,1.0100058839986732,1.0110158898826718,2.4389447492650103e-16,1.0100058839986732,True,Optimization terminated successfully,0.0016577100722571755,1.0110158898826769,True,Optimization terminated successfully,0.0016577100722569315
brspeech,ced,0.001,1.67055960525666e-16,1.0100058839986732,1.0110158898826718,1.67055960525666e-16,1.0100058839986732,True,Optimization terminated successfully,0.015735635718978885,1.0110158898828305,True,Optimization terminated successfully,0.015735635718978718
brspeech,egemaps,0.001,0.5148855999296984,1.0100058839986732,1.0110158898826718,0.4789970680417125,1.011015889882674,True,Optimization terminated successfully,0.5502711476850562,1.0110158898826813,True,Optimization terminated successfully,0.07127407964334376
brspeech,whisper,0.005,0.029800554611090213,1.0100058839986732,1.0150559134186665,9.581166739515142e-16,1.0150559134186659,True,Optimization terminated successfully,0.0854234827389924,1.0150559134186707,True,Optimization terminated successfully,0.08542348273899145
brspeech,contentvec12,0.005,0.15322888296055243,1.0100058839986732,1.0150559134186665,0.08461823921080736,1.0150559134186674,True,Optimization terminated successfully,0.22183961340724348,1.0150559134186692,True,Optimization terminated successfully,0.13722137419643612
brspeech,wavlm,0.005,0.30208496249865846,1.0100058839986732,1.0150559134186665,0.2269332390838072,1.0150559134186787,True,Optimization terminated successfully,0.377236647741113,1.0150559134186667,True,Optimization terminated successfully,0.1503034086573058
brspeech,beats,0.005,0.0,1.0100058839986732,1.0150559134186665,0.0,1.0100058839986732,True,Optimization terminated successfully,0.00916917257642726,1.0150559134186725,True,Optimization terminated successfully,0.00916917257642726
brspeech,auditory_erb,0.005,0.0,1.0100058839986732,1.0150559134186665,0.0,1.0100058839986732,True,Optimization terminated successfully,0.0043186900208437295,1.0150559134186699,True,Optimization terminated successfully,0.0043186900208437295
brspeech,speaker,0.005,0.0,1.0100058839986732,1.0150559134186665,0.0,1.0100058839986732,True,Optimization terminated successfully,0.06692512024919343,1.015055913418761,True,Optimization terminated successfully,0.06692512024919343
