dataset,method,k,n_systems,n_items,utterance_mse,equal_system_mse,system_srcc,feature
BRSpeechMOS,gate,1,6,1942,1.7376943942461625,1.5431878947777102,0.6571428571428573,
BRSpeechMOS,gate,2,6,1942,1.3878723107935071,1.1520484352843894,0.6571428571428573,
BRSpeechMOS,gate,3,6,1942,1.3682078578319454,1.1427308782165475,0.6571428571428573,
BRSpeechMOS,gate,4,6,1942,1.5014837242471568,1.2561424648550366,0.6571428571428573,
BRSpeechMOS,gate,5,6,1942,1.4495048483464013,1.217379913596065,0.6571428571428573,
BRSpeechMOS,gate,6,6,1942,1.4495053108320133,1.2173802748491702,0.6571428571428573,
BRSpeechMOS,gate,7,6,1942,1.4495056753978164,1.2173807444017033,0.6571428571428573,
BRSpeechMOS,gate,8,6,1942,1.449505020446968,1.2173800782883406,0.6571428571428573,
BRSpeechMOS,gate,9,6,1942,1.4495052109134237,1.2173801985673072,0.6571428571428573,
BRSpeechMOS,gate,10,6,1942,1.449505266885602,1.217380242066233,0.6571428571428573,
BRSpeechMOS,inner_search,1,6,1942,1.7376943942461625,1.5431878947777102,0.6571428571428573,
BRSpeechMOS,inner_search,2,6,1942,1.3880571042699157,1.1666819883053474,0.6571428571428573,
BRSpeechMOS,inner_search,3,6,1942,1.3682078578319454,1.1427308782165475,0.6571428571428573,
BRSpeechMOS,inner_search,4,6,1942,1.5014837275430353,1.2561424665537084,0.6571428571428573,
BRSpeechMOS,inner_search,5,6,1942,1.449504822393908,1.2173798927144626,0.6571428571428573,
BRSpeechMOS,inner_search,6,6,1942,1.4495052305253764,1.2173802092020076,0.6571428571428573,
BRSpeechMOS,inner_search,7,6,1942,1.4495052313066277,1.217380209691561,0.6571428571428573,
BRSpeechMOS,inner_search,8,6,1942,1.4495052376953277,1.217380213627765,0.6571428571428573,
BRSpeechMOS,inner_search,9,6,1942,1.4495052315326642,1.2173802102727682,0.6571428571428573,
BRSpeechMOS,inner_search,10,6,1942,1.449505266885602,1.217380242066233,0.6571428571428573,
BRSpeechMOS,shapley,1,6,1942,1.902850293598422,1.6283080530956742,0.6571428571428573,
BRSpeechMOS,shapley,2,6,1942,1.3878723107935071,1.1520484352843894,0.6571428571428573,
BRSpeechMOS,shapley,3,6,1942,1.3981852170236009,1.1542790818739486,0.6571428571428573,
BRSpeechMOS,shapley,4,6,1942,1.395815030336653,1.1505682060366274,0.6571428571428573,
BRSpeechMOS,shapley,5,6,1942,1.336138224855809,1.1111806176993968,0.6571428571428573,
BRSpeechMOS,shapley,6,6,1942,1.3916915360285973,1.1828950553655926,0.6571428571428573,
BRSpeechMOS,shapley,7,6,1942,1.473346621076578,1.2335894634681293,0.6571428571428573,
BRSpeechMOS,shapley,8,6,1942,1.4733471126699234,1.2335899568766724,0.6571428571428573,
BRSpeechMOS,shapley,9,6,1942,1.4495057444184007,1.2173808419067953,0.6571428571428573,
BRSpeechMOS,shapley,10,6,1942,1.449505266885602,1.217380242066233,0.6571428571428573,
BRSpeechMOS,singleton,1,6,1942,1.7376943942461625,1.5431878947777102,0.6571428571428573,
BRSpeechMOS,singleton,2,6,1942,1.3878723107935071,1.1520484352843894,0.6571428571428573,
BRSpeechMOS,singleton,3,6,1942,1.4050258333833827,1.157804686165535,0.6571428571428573,
BRSpeechMOS,singleton,4,6,1942,1.4050258403521865,1.157804708132982,0.6571428571428573,
BRSpeechMOS,singleton,5,6,1942,1.3990588385013587,1.155383625503334,0.6571428571428573,
BRSpeechMOS,singleton,6,6,1942,1.4522419684598191,1.2233871145991566,0.6571428571428573,
BRSpeechMOS,singleton,7,6,1942,1.3890995369491312,1.1772506764930946,0.6571428571428573,
BRSpeechMOS,singleton,8,6,1942,1.4733471126699234,1.2335899568766724,0.6571428571428573,
BRSpeechMOS,singleton,9,6,1942,1.4495057444184007,1.2173808419067953,0.6571428571428573,
BRSpeechMOS,singleton,10,6,1942,1.449505266885602,1.217380242066233,0.6571428571428573,
BVCC,gate,1,175,4974,0.349360494987561,0.3436681344865386,0.9058534086841592,
