dataset,feature,phi_utt,utt_lo,utt_hi,phi_sys,sys_lo,sys_hi,gate,zero_gate,analysis,method,reference,mean_normalized_mse_delta,ci95_low,ci95_high,probability_delta_lt_0,n_corpora,n_budgets,n_bootstrap,p_two_sided_bootstrap,p_holm_all_five,protocol,n_pairs,n_test_systems,rho_oof_correlation_vs_negative_interaction,rho_oof_ci95_test_system_sampling_interaction_only_low,rho_oof_ci95_test_system_sampling_interaction_only_high,rho_test_correlation_vs_negative_interaction,rho_test_joint_system_bootstrap_ci95_low,rho_test_joint_system_bootstrap_ci95_high,max_saved_mse_reconstruction_error,uncertainty_scope
BRSpeechMOS,Whisper,-0.0486038387803099,-0.1259999161489728,0.0476570525811056,-0.0014575671359572,-0.0804960957904984,0.0727937622872035,0.0298005546110899,False,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
BRSpeechMOS,ContentVec,0.0884787989284059,0.0030067991142354,0.1801350117431927,0.0850276309645147,0.0150259163505016,0.1606583804220638,0.1532288829605517,False,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
BRSpeechMOS,WavLM,0.1294953420462302,0.0485309592645849,0.2124528310270192,0.1374620523096845,0.0781728966059667,0.1954345879171973,0.3020849624986589,False,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
BRSpeechMOS,BEATs,0.0488491723422717,-0.0111499908080189,0.1092372085322802,0.0415716320546013,-0.0013057272677248,0.0871828523694397,6.359258670189269e-18,True,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
BRSpeechMOS,ERB,0.0513788287564857,0.0143285478192869,0.0903790494904123,0.055010399260364,0.0278476493885158,0.081723862334525,0.0,True,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
BRSpeechMOS,Speaker,0.120165992988061,0.0826200982151279,0.1754713463325849,0.1413427606796567,0.099601898896445,0.1853001339419571,1.7996308828059646e-16,True,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
BRSpeechMOS,RMVPE-c,0.0041731308999246,-0.035916702824812,0.0416035906944008,-0.0036217024200068,-0.0342017045233608,0.027615427294864,1.3897018102695086e-17,True,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
BRSpeechMOS,RMVPE-q,-0.0033499136157633,-0.01936558839236,0.0226512560649344,0.015614081266664,-0.0105626325837838,0.0414031660200472,2.80813788978564e-17,True,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
BRSpeechMOS,CED,0.1242963018010448,0.0645493453559956,0.1835425322096779,0.1467188163303183,0.0978832773237207,0.1851225875388468,0.0,True,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
BRSpeechMOS,eGeMAPS,0.1692932881695996,0.0585335211715763,0.2916051422084481,0.1998221205588329,0.1200976169068639,0.2731111777211615,0.5148855999296992,False,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
BVCC,Whisper,0.0656409766496093,0.0427557943584279,0.0892661060794135,0.0639277601250116,0.0441449205891151,0.0836558195514543,0.2494835630140977,False,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
BVCC,ContentVec,0.07943001857024,0.0569565087273327,0.1027328952970454,0.070051538350754,0.0535863692782072,0.0861178835257963,0.0613866786806006,False,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
BVCC,WavLM,0.0938985319544064,0.0703369432287683,0.1191108657455734,0.0841133565797011,0.0665026875737407,0.1024299615592935,0.1672053955558224,False,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
BVCC,BEATs,0.1136991892867531,0.08930744280154,0.1399947289376999,0.1034329474413092,0.0835353367212785,0.1238323020243394,0.2002818567803442,False,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
BVCC,ERB,0.0231557485869635,0.0116482242714638,0.0375758365579741,0.0251111987300448,0.0170038157624019,0.033422517301208,3.700774296826724e-17,True,attribution_test_system_bootstrap,,,,,,,,,,,,,,,,,,,,,,
