dataset,feature_i,feature_j,oof_pearson,oof_spearman,shapley_interaction_mse_utility
brspeech,whisper,contentvec12,0.2192518413066864,0.2294399051213164,0.060624498340547124
brspeech,whisper,wavlm,0.3122009038925171,0.3229991533861204,0.050760828902254626
brspeech,whisper,beats,-0.05723156780004501,-0.015799433130229395,-0.004696625415278986
brspeech,whisper,auditory_erb,-0.20129309594631195,-0.07991605618022196,-0.04089445772221892
brspeech,whisper,speaker,0.12725989520549774,0.14020973843499804,0.03360624997015476
brspeech,whisper,rmvpe_cont,-0.08448384702205658,-0.08227770017109476,0.11205139653200802
brspeech,whisper,rmvpe_quant,-0.05917297303676605,-0.05028712103332578,0.06726372029551012
brspeech,whisper,ced,0.07830860465765,0.0998260422485846,0.020310942888584645
brspeech,whisper,egemaps,0.1858205646276474,0.211634832425055,0.03914726861117035
brspeech,contentvec12,wavlm,0.5547603368759155,0.42539735614599666,-0.060869410162885794
brspeech,contentvec12,beats,-0.2388867437839508,-0.012668669494376242,-0.0348000069545286
brspeech,contentvec12,auditory_erb,-0.4994294345378876,-0.13730604380188613,-0.047500512965546485
brspeech,contentvec12,speaker,0.119596466422081,0.16583720300912727,-0.07684104841044082
brspeech,contentvec12,rmvpe_cont,-0.13365933299064636,-0.16785468940129922,0.02956523026406299
brspeech,contentvec12,rmvpe_quant,-0.03233183175325394,-0.05708548214007153,0.02086476214113184
brspeech,contentvec12,ced,0.06116550415754318,0.1031274047698695,-0.07793104107963847
brspeech,contentvec12,egemaps,0.2734155058860779,0.23471795166686799,-0.0848404157222689
brspeech,wavlm,beats,-0.4011310040950775,-0.18614821580246502,-0.047488824246298994
brspeech,wavlm,auditory_erb,-0.6654478311538696,-0.2850480413336182,-0.051770856015667596
brspeech,wavlm,speaker,0.1397169828414917,0.17468649302041772,-0.1072332501341322
brspeech,wavlm,rmvpe_cont,-0.1696682572364807,-0.19938598271201205,0.008404876910153618
brspeech,wavlm,rmvpe_quant,-0.10253024101257324,-0.15698223671723988,0.00947061798410299
brspeech,wavlm,ced,0.06683140993118286,0.15557581428456232,-0.11505764442297654
brspeech,wavlm,egemaps,0.4015105664730072,0.41252475427849766,-0.14995311689267887
brspeech,beats,auditory_erb,0.6320829391479492,0.39372534692406536,-0.057718421021763916
brspeech,beats,speaker,0.16892285645008087,0.18029462200518784,-0.056613828655507036
brspeech,beats,rmvpe_cont,0.07324840128421783,0.06301722673769496,-0.056613812243800764
brspeech,beats,rmvpe_quant,0.11557236313819885,0.19034093373983466,0.00974686481010277
brspeech,beats,ced,0.15058203041553497,0.14191503918414344,-0.05661380067864047
brspeech,beats,egemaps,-0.2714684307575226,-0.21575790968101488,-0.05661382249635656
brspeech,auditory_erb,speaker,0.1329062134027481,0.1416090509270041,-0.057720363834625074
brspeech,auditory_erb,rmvpe_cont,0.13099658489227295,0.24515342039434873,-0.057720362565418265
brspeech,auditory_erb,rmvpe_quant,0.02004820853471756,0.2183793909584527,-0.04333257636783993
brspeech,auditory_erb,ced,0.13285942375659943,0.18621520889822887,-0.05772034883165256
brspeech,auditory_erb,egemaps,-0.27946537733078003,-0.10536129378787726,-0.0577203521814466
brspeech,speaker,rmvpe_cont,-0.06144782528281212,-0.05407871981753257,-0.006068280406778699
brspeech,speaker,rmvpe_quant,-0.02377704344689846,0.05941959116102445,0.00267299791552981
brspeech,speaker,ced,0.28242582082748413,0.2924235215966578,-0.12804020127008356
brspeech,speaker,egemaps,0.2493821084499359,0.2559405367350856,-0.155540909632771
brspeech,rmvpe_cont,rmvpe_quant,0.34816890954971313,0.3194007033665731,0.00267301476047636
brspeech,rmvpe_cont,ced,-0.07569603621959686,-0.07446122641182869,-0.01580653473743714
brspeech,rmvpe_cont,egemaps,-0.21540305018424988,-0.22243505975795608,-0.009993306071351559
brspeech,rmvpe_quant,ced,-0.17200171947479248,-0.09804590444912267,0.005593987747304699
brspeech,rmvpe_quant,egemaps,-0.302107572555542,-0.20912361986615696,0.0026730114607624446
brspeech,ced,egemaps,0.22744381427764893,0.27366536308692596,-0.16317632287503217
bvcc,whisper,contentvec12,0.7695497870445251,0.7737585064578739,-0.06473856616546554
bvcc,whisper,wavlm,0.794087290763855,0.8030063007487164,-0.07466500830894131
bvcc,whisper,beats,0.7340916395187378,0.738694197357376,-0.07614635615734214
bvcc,whisper,auditory_erb,0.4135940372943878,0.4288920099399219,-0.018546971474655182
bvcc,whisper,speaker,0.7355130910873413,0.7416618768083664,-0.0623850317599402
bvcc,whisper,rmvpe_cont,0.2618163824081421,0.2881996361737894,-0.0015064549347400442
bvcc,whisper,rmvpe_quant,0.2149718850851059,0.23432257902022458,0.0006344424562748179
bvcc,whisper,ced,0.749671220779419,0.7504503073469372,-0.07299451105053652
bvcc,whisper,egemaps,0.6164785623550415,0.6099152236235696,-0.038717142555077896
bvcc,contentvec12,wavlm,0.8144534826278687,0.8150752551011455,-0.08820776883175661
bvcc,contentvec12,beats,0.695747435092926,0.6889201011252043,-0.07841489848558264
bvcc,contentvec12,auditory_erb,0.41269630193710327,0.4301168213989926,-0.02198752866975616
bvcc,contentvec12,speaker,0.7264275550842285,0.7253474162207217,-0.0737124113900447
bvcc,contentvec12,rmvpe_cont,0.2612895965576172,0.29430979601790386,-0.004591274357818367
bvcc,contentvec12,rmvpe_quant,0.210404172539711,0.23351491250605208,-0.0013104936843596315
bvcc,contentvec12,ced,0.7095530033111572,0.7051706656260065,-0.08087293347186339
bvcc,contentvec12,egemaps,0.6024456024169922,0.6052632070003894,-0.0463290389010572
bvcc,wavlm,beats,0.7538187503814697,0.7496710276603676,-0.09871839888086115
bvcc,wavlm,auditory_erb,0.43603402376174927,0.43903213050241796,-0.02480059922220611
bvcc,wavlm,speaker,0.7524945735931396,0.7552959963840159,-0.08680787812210386
bvcc,wavlm,rmvpe_cont,0.2591382563114166,0.28279930315793456,-0.007188825570532265
bvcc,wavlm,rmvpe_quant,0.21015942096710205,0.22814173006769714,-0.003373763373673692
bvcc,wavlm,ced,0.7532492876052856,0.7495674061112811,-0.0961291490709178
bvcc,wavlm,egemaps,0.6092969179153442,0.6050022649921095,-0.05320437729690338
bvcc,beats,auditory_erb,0.4475831389427185,0.433232042706777,-0.02380227876008225
bvcc,beats,speaker,0.7555743455886841,0.7522812347377362,-0.09594064773474574
bvcc,beats,rmvpe_cont,0.27261415123939514,0.3064919293456958,-0.0061486458109655095
bvcc,beats,rmvpe_quant,0.21765539050102234,0.23243799827200023,-0.0021901801114295447
bvcc,beats,ced,0.8270615339279175,0.8165203098211339,-0.11815312196422574
bvcc,beats,egemaps,0.6417801380157471,0.6384459301832941,-0.05493256317470811
bvcc,auditory_erb,speaker,0.49565404653549194,0.5170988256484172,-0.025315965826996436
bvcc,auditory_erb,rmvpe_cont,0.2680816054344177,0.2772255010105634,-0.008281563855187048
