dataset,beta_corr,beta_mean,beta_min
brspeech,0.23416556266879274,0.9432295599679805,-0.16155848905029052
bvcc,0.37713609393617886,0.6984321714665,-0.13681622463826815
singmos,0.04746629852313311,1.0525229761938513,-0.14670722230506217
tmhintqi,0.5501420788810476,0.5294079015560833,-0.12336771247795192
