dataset,k,n_unseen_utt,unseen_gate,seen_gate,unseen_singleton,seen_singleton,unseen_loo,seen_loo,unseen_shapley_val,seen_shapley_val,unseen_greedy_val,seen_greedy_val,unseen_full
bvcc,1,234,0.2935277783074873,0.48214920738422584,0.3075313199388937,0.27119814552579175,0.2935277783074873,0.48214920738422584,0.2935277783074873,0.48214920738422584,0.3075313199388937,0.27119814552579175,0.1857849691668535
bvcc,2,234,0.23291305743686735,0.2560265502512157,0.23291305743686735,0.2560265502512157,0.23291305743686735,0.2560265502512157,0.23291305743686735,0.2560265502512157,0.23291305743686735,0.2560265502512157,0.1857849691668535
bvcc,3,234,0.2013897687105288,0.2310064295986528,0.2013897687105288,0.2310064295986528,0.2013897687105288,0.2310064295986528,0.2013897687105288,0.2310064295986528,0.2013897687105288,0.2310064295986528,0.1857849691668535
bvcc,4,234,0.19285084017277362,0.22059121809150728,0.18899534651218083,0.22655657592486642,0.1960203027997825,0.21895226213463273,0.19285084017277362,0.22059121809150728,0.1960203027997825,0.21895226213463273,0.1857849691668535
bvcc,5,234,0.18580505778879444,0.21962177606576022,0.18580505778879444,0.21962177606576022,0.19224871378190264,0.21658965961464227,0.18580505778879444,0.21962177606576022,0.19602029691572934,0.21895223468657768,0.1857849691668535
bvcc,6,234,0.18578498803683072,0.21666096281809807,0.18578498803683072,0.21666096281809807,0.19224867939692308,0.21658976647375242,0.18578498803683072,0.21666096281809807,0.1960202982968602,0.21895225578563154,0.1857849691668535
bvcc,7,234,0.18578495860406882,0.21666093675077883,0.18578495962595876,0.2166608468628293,0.1922486914584949,0.21658971391903153,0.18578495962595876,0.2166608468628293,0.19602029723197037,0.21895216896765815,0.1857849691668535
bvcc,8,234,0.18578494871401205,0.21666084120710158,0.18578494118520458,0.21666087803427453,0.19224868931757136,0.21658977081836814,0.18578494118520458,0.21666087803427453,0.1960202996018977,0.21895224812959374,0.1857849691668535
bvcc,9,234,0.18578496456098678,0.2166609018311568,0.1857849922246938,0.2166607779315613,0.1922487052363645,0.2165896854524571,0.1857849922246938,0.2166607779315613,0.1922487052363645,0.2165896854524571,0.1857849691668535
bvcc,10,234,0.1857849691668535,0.21666091318574526,0.1857849691668535,0.21666091318574526,0.1857849691668535,0.21666091318574526,0.1857849691668535,0.21666091318574526,0.1857849691668535,0.21666091318574526,0.1857849691668535
singmos,1,145,0.46481705302599235,0.3867802967797292,0.46481705302599235,0.3867802967797292,0.46481705302599235,0.3867802967797292,0.46481705302599235,0.3867802967797292,0.46481705302599235,0.3867802967797292,0.269194848289822
singmos,2,145,0.34975138161784597,0.3745267017503684,0.3753373894901847,0.37840669703773244,0.3753373894901847,0.37840669703773244,0.3753373894901847,0.37840669703773244,0.3753373894901847,0.37840669703773244,0.269194848289822
singmos,3,145,0.2854745477200517,0.3559458893101502,0.2746966158607313,0.3561342486214277,0.3185100974435168,0.37132986517082245,0.3185100974435168,0.37132986517082245,0.3249437287857473,0.3749071697914992,0.269194848289822
singmos,4,145,0.2724597883851711,0.35530854452326244,0.2724597883851711,0.35530854452326244,0.32555217114471463,0.3713796746843548,0.2724597883851711,0.35530854452326244,0.35257879275198173,0.3747233195130065,0.269194848289822
singmos,5,145,0.26516164120088204,0.354465556319031,0.2686746525806981,0.3555690685309307,0.30217692489754355,0.3682968961306936,0.2686746525806981,0.3555690685309307,0.3163181682701065,0.37050602201608934,0.269194848289822
singmos,6,145,0.27012478983392485,0.355969248718407,0.268674673895711,0.355569051275333,0.29698784228173264,0.3682577405616903,0.2786359564882086,0.35711508671999886,0.3011806638862991,0.368218964428191,0.269194848289822
singmos,7,145,0.2691948379765427,0.3559882118988165,0.2786358836574068,0.3571150785088111,0.29698787042578034,0.3682577669354841,0.2786358836574068,0.3571150785088111,0.3011806115400311,0.36821895840588637,0.269194848289822
singmos,8,145,0.2691948997506841,0.3559882148751698,0.2786358994218053,0.3571150897930558,0.29698789495092237,0.368257773724565,0.2786358994218053,0.3571150897930558,0.29698789495092237,0.368257773724565,0.269194848289822
singmos,9,145,0.26919500855642414,0.35598824949385965,0.2786360976541745,0.3571151070047034,0.282850453833618,0.36713896493034076,0.2691949156173846,0.35598823746556013,0.282850453833618,0.36713896493034076,0.269194848289822
singmos,10,145,0.269194848289822,0.35598821992861257,0.269194848289822,0.35598821992861257,0.269194848289822,0.35598821992861257,0.269194848289822,0.35598821992861257,0.269194848289822,0.35598821992861257,0.269194848289822
