dataset,rule,feature,phi
tmhintqi,uniform,auditory_erb,-0.010644684637931535
tmhintqi,uniform,speaker,0.07207713896898572
tmhintqi,uniform,rmvpe_cont,-0.044162307542125336
tmhintqi,uniform,rmvpe_quant,-0.04188926062729342
tmhintqi,uniform,ced,0.10583317555233208
tmhintqi,uniform,egemaps,0.06851864013913458
tmhintqi,nnls,whisper,0.1051174893643493
tmhintqi,nnls,contentvec12,0.08345299416733382
tmhintqi,nnls,wavlm,0.1086001712449392
tmhintqi,nnls,beats,0.10567060781074639
tmhintqi,nnls,auditory_erb,0.008612034186822331
tmhintqi,nnls,speaker,0.07601318782696313
tmhintqi,nnls,rmvpe_cont,-5.8595104077438825e-18
tmhintqi,nnls,rmvpe_quant,0.0006386300326807318
tmhintqi,nnls,ced,0.09942427614960021
tmhintqi,nnls,egemaps,0.0726678288054977
tmhintqi,ridge,whisper,0.10617037686522143
tmhintqi,ridge,contentvec12,0.08490933581198011
tmhintqi,ridge,wavlm,0.11049556917599283
tmhintqi,ridge,beats,0.10801011756003039
tmhintqi,ridge,auditory_erb,-0.001138478261441201
tmhintqi,ridge,speaker,0.07618423739295241
tmhintqi,ridge,rmvpe_cont,-0.0040533145649715415
tmhintqi,ridge,rmvpe_quant,-0.000290030097868196
tmhintqi,ridge,ced,0.1027450203091041
tmhintqi,ridge,egemaps,0.07266999263799863
