dataset,feature,ridge_mse,ridge_srcc,mlp_mse,mlp_srcc,mlp_n_iter
brspeech,whisper,1.7325274515920124,0.44230775369293696,1.3066592350706019,0.5214816713480515,36
brspeech,contentvec12,1.0904342347811322,0.5442693802228462,1.1539197264905405,0.5020180162633708,34
brspeech,wavlm,0.9020107342758605,0.5789519210920004,1.2760832319323867,0.4572541483062252,46
brspeech,beats,1.0257288104325903,0.595760056626432,0.9957573427688531,0.6001808450682743,34
brspeech,auditory_erb,0.9162519280062241,0.5239108201272069,0.9217540210155739,0.5245806237358819,186
brspeech,speaker,0.83699810676426,0.6145534849795011,1.0143469723899232,0.5691257371347932,44
brspeech,rmvpe_cont,1.3950074105490182,0.15744996843871384,1.3645219043743557,0.22043647190742338,269
brspeech,rmvpe_quant,1.472401289593941,0.229972393530107,3.3991727970757526,0.17138806109402827,28
brspeech,ced,0.8008916422063912,0.6530927914159785,0.9287246128287945,0.6056192441726961,37
brspeech,egemaps,0.7375420158325781,0.6533356639816005,0.9535733046738374,0.5736163408611784,84
bvcc,whisper,0.44129555024828654,0.7373115357819462,0.5519183463405017,0.6943073271759782,62
bvcc,contentvec12,0.385238350075823,0.76085033309454,0.5873787307354978,0.6487238303874978,46
bvcc,wavlm,0.3130712138503737,0.8075217911891411,0.526530768574221,0.7165277818736153,37
bvcc,beats,0.282199301795242,0.8342702825485897,0.46369421665628785,0.7616042970211951,56
bvcc,auditory_erb,0.6693989372445603,0.430893886200565,0.6027046452755674,0.5394619256355958,141
bvcc,speaker,0.3469264012070386,0.7896502719598061,0.5132706627114999,0.7273502953071347,71
bvcc,rmvpe_cont,0.7970693202150416,0.2612187462223555,0.7490831858340704,0.3622568472304372,346
bvcc,rmvpe_quant,0.8260129987046693,0.21413618450388697,0.9614923452486203,0.1628747509499005,37
bvcc,ced,0.2793540092951158,0.8192937377409699,0.37438939042132113,0.7748237853108288,66
bvcc,egemaps,0.5086724167726967,0.6528684087717551,0.5492113434383378,0.6733557789801851,106
singmos,whisper,0.8107291913705683,0.44096930650615856,0.7444502277350248,0.46444517784807454,37
singmos,contentvec12,0.6685880631390532,0.35840955907432825,1.0332860772082464,0.3551047411328759,54
singmos,wavlm,0.49926433819340366,0.5124053631222065,0.844690838995895,0.370342358320511,89
singmos,beats,0.478269228656826,0.5388961158939483,0.643732799232147,0.43319990211149717,61
singmos,auditory_erb,0.5349679208097118,0.35499526797146597,0.8282891463118716,0.2800732111757609,217
singmos,speaker,0.4716866974577259,0.45840292430963314,0.7850696251294195,0.3302577931412551,98
singmos,rmvpe_cont,0.5676173537168827,0.10916475846315148,0.5020321629044604,0.3363992981525282,236
singmos,rmvpe_quant,0.6462083188313543,0.2570921594220279,1.462731376414792,0.24071124075060943,95
singmos,ced,0.404604727064725,0.5794422071614469,0.65365907980199,0.43378478488541644,75
singmos,egemaps,0.4031476685804452,0.5247843896216391,0.728848121382523,0.36073567841598075,175
tmhintqi,whisper,0.4046259592290539,0.7334082630753239,0.6473624025937358,0.6205567411011629,33
tmhintqi,contentvec12,0.46806007124461557,0.6683633169303838,0.686650834702249,0.5836089245334437,35
tmhintqi,wavlm,0.3887392647641124,0.7350157635877658,0.5536907125672261,0.6388153687308114,30
tmhintqi,beats,0.39503424268228565,0.728929109425996,0.5039697681238187,0.6709882736589413,37
tmhintqi,auditory_erb,0.8075588176798822,0.44025933566429853,0.6056978395714673,0.6118909942031744,146
tmhintqi,speaker,0.5000969763791755,0.6671362580555825,0.5691220808833447,0.6280609583315618,45
tmhintqi,rmvpe_cont,0.9650541130189977,0.17094948276917826,0.8369986429618724,0.372960777663103,192
tmhintqi,rmvpe_quant,0.9600144600867764,0.21948334891322716,5.025262053156733,0.17028665890810352,29
tmhintqi,ced,0.4024035353647666,0.7176153323101353,0.4984471008295142,0.6633579526065042,31
tmhintqi,egemaps,0.5090853447465609,0.6340463041788307,0.5018927886322375,0.6577124056570804,67
