scenario,dataset,k,method,reference,delta_pct
exclude_k1,brspeech,3,singleton,inner_search,-12.729603023345316
exclude_k1,brspeech,3,shapley,inner_search,-13.869382995669444
exclude_k1,brspeech,5,gate,inner_search,-2.4141879333390084e-05
exclude_k1,brspeech,5,singleton,inner_search,-9.875755126628782
exclude_k1,brspeech,5,shapley,inner_search,-10.522189171886982
exclude_k1,bvcc,2,gate,inner_search,1.7495295528414012
exclude_k1,bvcc,2,singleton,inner_search,3.504271150109644
exclude_k1,bvcc,2,shapley,inner_search,5.709492490330058
exclude_k1,bvcc,3,gate,inner_search,0.3894156084968223
exclude_k1,bvcc,3,singleton,inner_search,4.570549945615519
exclude_k1,bvcc,3,shapley,inner_search,1.9236257303118114
exclude_k1,bvcc,5,gate,inner_search,0.0
exclude_k1,bvcc,5,singleton,inner_search,-0.10925599872337627
exclude_k1,bvcc,5,shapley,inner_search,-0.10925599872337627
exclude_k1,singmos,2,gate,inner_search,3.667010545743305
exclude_k1,singmos,2,singleton,inner_search,1.6961282337064054
exclude_k1,singmos,2,shapley,inner_search,0.0
exclude_k1,singmos,3,gate,inner_search,-1.2294990068467773
exclude_k1,singmos,3,singleton,inner_search,-1.9752239797569837
exclude_k1,singmos,3,shapley,inner_search,-1.2294990068467773
exclude_k1,singmos,5,gate,inner_search,0.1579165419052117
exclude_k1,singmos,5,singleton,inner_search,2.154925804652762
exclude_k1,singmos,5,shapley,inner_search,1.9702583391831303
exclude_k1,tmhintqi,2,gate,inner_search,0.050568827727576204
exclude_k1,tmhintqi,2,singleton,inner_search,-0.9848771665593333
exclude_k1,tmhintqi,2,shapley,inner_search,-0.8753472220193426
exclude_k1,tmhintqi,3,gate,inner_search,0.35082733407357636
exclude_k1,tmhintqi,3,singleton,inner_search,0.6100947604173163
exclude_k1,tmhintqi,3,shapley,inner_search,0.2824943756719938
exclude_k1,tmhintqi,5,gate,inner_search,-0.26166335496165927
exclude_k1,tmhintqi,5,singleton,inner_search,-0.07602496417420367
exclude_k1,tmhintqi,5,shapley,inner_search,-0.2037992503113032
exclude_brspeechmos_k_ge_2,bvcc,2,gate,inner_search,1.7495295528414012
exclude_brspeechmos_k_ge_2,bvcc,2,singleton,inner_search,3.504271150109644
exclude_brspeechmos_k_ge_2,bvcc,2,shapley,inner_search,5.709492490330058
exclude_brspeechmos_k_ge_2,bvcc,3,gate,inner_search,0.3894156084968223
exclude_brspeechmos_k_ge_2,bvcc,3,singleton,inner_search,4.570549945615519
exclude_brspeechmos_k_ge_2,bvcc,3,shapley,inner_search,1.9236257303118114
exclude_brspeechmos_k_ge_2,bvcc,5,gate,inner_search,0.0
exclude_brspeechmos_k_ge_2,bvcc,5,singleton,inner_search,-0.10925599872337627
exclude_brspeechmos_k_ge_2,bvcc,5,shapley,inner_search,-0.10925599872337627
exclude_brspeechmos_k_ge_2,singmos,2,gate,inner_search,3.667010545743305
exclude_brspeechmos_k_ge_2,singmos,2,singleton,inner_search,1.6961282337064054
exclude_brspeechmos_k_ge_2,singmos,2,shapley,inner_search,0.0
exclude_brspeechmos_k_ge_2,singmos,3,gate,inner_search,-1.2294990068467773
exclude_brspeechmos_k_ge_2,singmos,3,singleton,inner_search,-1.9752239797569837
exclude_brspeechmos_k_ge_2,singmos,3,shapley,inner_search,-1.2294990068467773
exclude_brspeechmos_k_ge_2,singmos,5,gate,inner_search,0.1579165419052117
exclude_brspeechmos_k_ge_2,singmos,5,singleton,inner_search,2.154925804652762
exclude_brspeechmos_k_ge_2,singmos,5,shapley,inner_search,1.9702583391831303
exclude_brspeechmos_k_ge_2,tmhintqi,2,gate,inner_search,0.050568827727576204
exclude_brspeechmos_k_ge_2,tmhintqi,2,singleton,inner_search,-0.9848771665593333
exclude_brspeechmos_k_ge_2,tmhintqi,2,shapley,inner_search,-0.8753472220193426
exclude_brspeechmos_k_ge_2,tmhintqi,3,gate,inner_search,0.35082733407357636
exclude_brspeechmos_k_ge_2,tmhintqi,3,singleton,inner_search,0.6100947604173163
exclude_brspeechmos_k_ge_2,tmhintqi,3,shapley,inner_search,0.2824943756719938
exclude_brspeechmos_k_ge_2,tmhintqi,5,gate,inner_search,-0.26166335496165927
exclude_brspeechmos_k_ge_2,tmhintqi,5,singleton,inner_search,-0.07602496417420367
exclude_brspeechmos_k_ge_2,tmhintqi,5,shapley,inner_search,-0.2037992503113032
