scenario,candidate,reference,point_delta_pct,ci95_low_pct,ci95_high_pct,p_two_sided_bootstrap,n_corpora,n_budgets,n_bootstrap,datasets,budgets,p_holm_all_five
leave_out_singmos,gate,inner_search,-2.4321593261866297,-4.056772911168165,0.4290690753239921,0.1763999999999999,3,4,10000,brspeech+bvcc+tmhintqi,1+2+3+5,0.7055999999999996
leave_out_singmos,shapley,inner_search,-2.9295967042016513,-5.046039953602641,0.8491033205511567,0.1763999999999999,3,4,10000,brspeech+bvcc+tmhintqi,1+2+3+5,0.7055999999999996
leave_out_singmos,singleton,inner_search,-1.110781743856598,-4.026145070723817,1.7440733306488772,0.6696,3,4,10000,brspeech+bvcc+tmhintqi,1+2+3+5,0.9236
leave_out_singmos,gate,singleton,-1.3213775823300316,-4.560444858784696,1.3077731748459556,0.4618,3,4,10000,brspeech+bvcc+tmhintqi,1+2+3+5,0.9236
leave_out_singmos,shapley,singleton,-1.8188149603450534,-4.175167021552696,-0.14198205040248393,0.009800000000000031,3,4,10000,brspeech+bvcc+tmhintqi,1+2+3+5,0.049000000000000155
leave_out_tmhintqi,gate,inner_search,-2.167242175335422,-3.923593815205578,0.8207163021023389,0.1681999999999999,3,4,10000,brspeech+bvcc+singmos,1+2+3+5,0.6727999999999996
leave_out_tmhintqi,shapley,inner_search,-2.7938316149110927,-4.93923676146398,0.9902642312205855,0.1734,3,4,10000,brspeech+bvcc+singmos,1+2+3+5,0.6727999999999996
leave_out_tmhintqi,singleton,inner_search,-0.9168952914467307,-3.815061225827563,1.9461176585806619,0.6716,3,4,10000,brspeech+bvcc+singmos,1+2+3+5,0.9611999999999998
leave_out_tmhintqi,gate,singleton,-1.2503468838886913,-4.599098512721047,1.5323832391284926,0.4805999999999999,3,4,10000,brspeech+bvcc+singmos,1+2+3+5,0.9611999999999998
leave_out_tmhintqi,shapley,singleton,-1.8769363234643621,-4.2707018623817135,-0.06712310842139707,0.0351999999999999,3,4,10000,brspeech+bvcc+singmos,1+2+3+5,0.1759999999999995
