scenario,candidate,reference,point_delta_pct,ci95_low_pct,ci95_high_pct,p_two_sided_bootstrap_recomputed,n_corpora_recomputed,n_budgets_recomputed,n_bootstrap_recomputed,datasets,budgets,p_holm_all_five_recomputed,method,mean_normalized_mse_delta,ci95_low,ci95_high,probability_delta_lt_0,n_corpora_published,n_budgets_published,n_bootstrap_published,p_two_sided_bootstrap_published,p_holm_all_five_published,point_difference
all_primary,gate,inner_search,-1.5056024906991292,-2.816578613753766,0.7380552694299679,0.18419999999999992,4,4,10000,brspeech+bvcc+singmos+tmhintqi,1+2+3+5,0.6943999999999999,gate,-0.0150560249069913,-0.0281657861375376,0.0073805526942996,0.9079,4,4,10000,0.1841999999999999,0.6943999999999999,6.938893903907228e-18
all_primary,shapley,inner_search,-2.1451644672244847,-3.7734898744207315,0.7075294858035759,0.17359999999999998,4,4,10000,brspeech+bvcc+singmos+tmhintqi,1+2+3+5,0.6943999999999999,shapley,-0.0214516446722448,-0.0377348987442073,0.0070752948580357,0.9132,4,4,10000,0.1735999999999999,0.6943999999999999,-4.85722573273506e-17
all_primary,singleton,inner_search,-0.7158469292298117,-2.9136496337159037,1.4385416522557082,0.6741999999999999,4,4,10000,brspeech+bvcc+singmos+tmhintqi,1+2+3+5,1.0,singleton,-0.0071584692922981,-0.029136496337159,0.014385416522557,0.6629,4,4,10000,0.6741999999999999,1.0,-1.734723475976807e-17
all_primary,gate,singleton,-0.7897555614693176,-3.296235980443557,1.2865606666736513,0.5793999999999999,4,4,10000,brspeech+bvcc+singmos+tmhintqi,1+2+3+5,1.0,gate,-0.0078975556146931,-0.0329623598044356,0.0128656066667365,0.7103,4,4,10000,0.5793999999999999,1.0,-7.45931094670027e-17
all_primary,shapley,singleton,-1.4293175379946732,-3.2254997657444493,-0.06604417075421362,0.02960000000000007,4,4,10000,brspeech+bvcc+singmos+tmhintqi,1+2+3+5,0.14800000000000035,shapley,-0.0142931753799466,-0.0322549976574444,-0.0006604417075421,0.9852,4,4,10000,0.0296,0.1480000000000003,-1.3183898417423734e-16
